,team_id,year,team,region,seed,finish,weekend,coach,coach_id,conference,conf,conf_id,kenpom_id,torvik_id,5man_prpg!,5man_dprpg,5man_bpm,5man_obpm,5man_dbpm,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm,kenpom_off,kenpom_def,kenpom_rtg,size,height,experience,bench,pts_from_5,pts_from_4,pts_from_3,pts_from_2,pts_from_1,or_from_5,or_from_4,or_from_3,or_from_2,or_from_1,dr_from_5,dr_from_4,dr_from_3,dr_from_2,dr_from_1,wab,torvik_off,torvik_def,torvik_rtg,efg%,efgd%,ftr,ftrd,tor,tord,orb%,drb%,raw_tempo,2p%,2p%d,3p%,3p%d,blk%,blked%,ast%,ast%d,3pr,3prd,adj_tempo,ft%,ft%d,off_dunk_fg%,off_dunk_share,def_dunk_fg%,def_dunk_share,off_close2_fg%,off_close2_share,def_close2_fg%,def_close2_share,off_far2_fg%,off_far2_share,def_far2_fg%,def_far2_share,off_3pt_fg%,off_3pt_share,def_3pt_fg%,def_3pt_share,net_efg_margin,net_turnover_margin,net_rebounding_margin,net_ftr_margin,def_net_efg_margin,def_net_turnover_margin,def_net_rebounding_margin,def_net_ftr_margin,rim_efficiency,perimeter_efficiency,three_point_volume_efficiency,shot_quality_variance,def_rim_efficiency,def_perimeter_efficiency,def_three_point_volume_efficiency,def_shot_quality_variance,rim_to_three_ratio,mid_range_reliance,paint_touch_rate,def_rim_to_three_ratio,def_mid_range_reliance,def_paint_touch_rate,top5_scoring_concentration,top5_rebounding_concentration,top5_def_rebounding_concentration,bench_scoring_ratio,rotation_balance,tempo_advantage,effective_possession_rate,def_effective_possession_rate,offensive_versatility_score,assist_to_usage_ratio,defensive_versatility_score,def_assist_suppression,size_speed_index,def_size_speed_index,free_throw_advantage,block_efficiency,experience_weighted_production,def_free_throw_advantage,def_block_efficiency,def_experience_impact,four_factors_composite,def_four_factors_composite,elite_outcome_probability,shooting_variance_resilience,lineup_depth_quality,def_lineup_depth_quality,offense_defense_balance
0,2015 Villanova,2015,Villanova,Region 2,1,Second Round,1,Jay Wright,2015 Jay Wright,Big East,BE,2015 BE,2015 Villanova,2015 Villanova,15.7,30.7,32.4,18.9,13.2,9.9,38.1,24.4,14.4,10.2,122.473,108.4837,30.9562,77.38,0.13,1.89,31.54,19.21,21.79,21.75,19.01,18.24,41.98,17.51,19.4,9.45,11.66,35.94,18.87,17.44,12.2,15.55,11.22742574,120.6641892,108.64573441,0.960836677,55.3,54.5,42.4,69.7,83.4,21.7,32.7,31.1,65.1,53.1,54.8,38.9,69.2,10.9,91.3,62.8,46.3,43.0,32.5,64.8,72.7,32.5,90.5,8.5,11.099999999999994,4.1,65.1,30.8,46.6,33.4,39.1,26.4,62.2,34.4,38.9,42.8,69.5,32.2,0.7999999999999972,-61.7,-36.199999999999996,-27.300000000000004,-0.7999999999999972,61.7,36.199999999999996,27.300000000000004,27.743299999999998,26.971599999999995,16.649199999999997,24.684948180352066,16.0195,43.775800000000004,22.379,25.985701196363102,0.9182028457279036,23.6,39.3,1.1645601068289804,34.4,62.5,0.0,1.4210854715202004e-14,0.0,31.54,98.34407125757176,-3.200000000000003,46.120200000000004,11.8265,79.89060874397364,0.8020331796528779,78.48459766336683,2.7889886151436665,0.08424,0.08424,817.23,0.11938532984304663,35.721,-817.23,8.375378405650858,24.947999999999997,55.87,43.9,3,70.28986402517882,-4.499999999999998,-3.0,8.789426066532883
1,2015 Virginia,2015,Virginia,Region 2,2,Second Round,1,Tony Bennett,2015 Tony Bennett,ACC,ACC,2015 ACC,2015 Virginia,2015 Virginia,12.1,29.1,31.7,11.6,22.9,9.9,36.7,23.8,11.7,12.2,115.318,115.5708,30.8885,78.28,1.99,1.65,33.58,22.14,20.58,22.22,21.34,13.72,40.86,34.94,15.07,5.81,3.31,25.52,21.6,22.24,17.26,13.37,9.921541443,113.2149061,116.66998978,0.971377151,51.2,58.3,34.2,72.1,83.9,18.1,34.0,24.3,58.5,50.1,60.5,36.1,69.7,13.5,92.9,54.3,50.1,27.3,36.5,58.3,72.3,35.3,92.9,7.7,13.700000000000003,4.7,65.9,36.3,47.6,31.4,33.8,36.1,72.0,32.0,35.2,27.5,69.2,36.6,-7.099999999999994,-65.80000000000001,-41.7,-37.89999999999999,7.099999999999994,65.80000000000001,41.7,37.89999999999999,31.075000000000003,21.8818,9.680000000000001,28.17498890860474,15.5903,48.3672,25.3272,26.922899175237426,1.5999418202974436,13.899999999999999,44.0,0.9863118494030219,32.0,63.9,0.0,0.009999999999990905,0.009999999999990905,33.58,96.42654229072177,-9.700000000000003,42.95680000000001,10.5523,83.31895251028844,0.6629955678196846,75.07524725757767,3.11160797465996,1.16017,1.16017,-72.46999999999935,0.1453159815287241,19.139999999999997,72.46999999999935,6.880971779868158,37.785,53.38500000000001,43.519999999999996,0,66.90201280497931,0.09999999999999964,-10.7,7.478039625583403
2,2015 Oklahoma,2015,Oklahoma,Region 2,3,Sweet 16,2,Lon Kruger,2015 Lon Kruger,Big 12,B12,2015 B12,2015 Oklahoma,2015 Oklahoma,14.2,27.0,31.4,15.2,15.7,9.9,36.0,22.5,12.9,9.5,111.785,112.3146,24.1001,76.87,0.52,1.82,22.33,16.31,18.53,24.13,24.36,16.67,33.79,30.2,14.93,14.88,6.19,26.18,25.49,17.34,16.86,14.13,4.249322904,109.9986092,112.73358711,0.934763459,49.4,56.3,32.7,71.1,82.3,20.2,30.9,31.5,68.2,48.4,57.6,34.3,69.1,12.9,89.8,48.9,51.0,33.6,33.7,68.1,73.5,34.599999999999994,90.5,7.8,11.299999999999997,4.6,62.8,32.2,45.6,31.0,33.9,33.9,68.4,34.6,34.1,33.9,68.1,34.4,-6.899999999999999,-62.099999999999994,-37.6,-38.39999999999999,6.899999999999999,62.099999999999994,37.6,38.39999999999999,27.280600000000003,23.052,11.5599,27.09666338623017,14.655800000000001,47.0928,23.426399999999997,26.909292075415138,1.1799061974573022,16.1,40.0,1.0348536379756403,34.6,64.4,0.0,0.010000000000019327,0.0,22.33,96.03350280474069,0.09999999999999432,40.6562,11.372599999999998,83.34828086448422,0.6127742760115787,79.30975501529744,2.8811931529292125,0.35412,0.35412,-56.60999999999922,0.14365096157058385,27.663999999999998,56.60999999999922,6.9607007208743505,28.573999999999998,51.42,44.535000000000004,1,67.12474182100134,-2.299999999999999,-6.199999999999999,7.452758120866557
3,2015 Louisville,2015,Louisville,Region 2,4,Sweet 16,2,Rick Pitino,2015 Rick Pitino,ACC,ACC,2015 ACC,2015 Louisville,2015 Louisville,11.2,29.8,23.3,8.0,17.5,11.0,34.4,22.5,12.2,10.3,108.601,111.824,20.4245,76.87,2.76,1.46,30.08,8.88,24.01,19.67,20.97,26.47,37.97,31.77,9.83,8.22,12.21,22.29,27.41,16.18,16.58,17.54,5.660871547,107.8675766,113.38496579,0.925769877,47.8,56.6,38.8,65.3,82.2,21.8,35.1,30.9,66.2,48.9,56.7,30.4,70.7,14.8,93.0,47.8,44.5,32.6,31.4,66.0,66.0,34.8,92.8,9.9,14.599999999999994,7.2,64.5,31.3,42.6,31.6,35.1,37.0,68.6,36.8,30.8,31.8,69.7,31.6,-8.800000000000004,-60.400000000000006,-34.0,-26.5,8.800000000000004,60.400000000000006,34.0,26.5,29.375700000000002,22.7814,9.794400000000001,28.857003771470566,14.5128,47.269999999999996,22.025199999999998,26.05703679750763,1.2955567434986321,13.0,41.2,1.227809246542831,36.8,61.199999999999996,0.0,0.0,0.0,30.08,93.24268544464593,-2.0,39.2916,12.3388,83.54912674229102,0.6112453804938555,77.5019298176698,2.4998595584517727,1.8215999999999999,1.8215999999999999,288.3600000000001,0.15913807378415284,11.68,-288.3600000000001,6.283359232484291,25.55,52.510000000000005,44.065,2,65.91343702201105,4.199999999999999,-7.199999999999999,7.211692376481108
4,2015 Northern Iowa,2015,Northern Iowa,Region 2,5,Second Round,1,Ben Jacobson,2015 Ben Jacobson,Missouri Valley,MVC,2015 MVC,2015 Northern Iowa,2015 Northern Iowa,11.4,34.1,26.6,14.6,12.4,8.4,39.9,22.3,12.5,9.8,115.17,105.7808,20.9503,76.91,-0.65,2.16,37.55,28.71,19.32,14.74,15.43,21.8,29.88,34.63,26.57,1.39,7.54,26.69,23.87,18.7,13.5,17.25,5.562426197,114.0488554,107.84323403,0.920639063,56.2,54.9,40.2,73.3,82.0,19.3,26.9,26.9,57.4,53.9,56.2,39.7,68.4,8.1,91.7,53.6,52.3,40.0,38.1,58.5,72.6,28.5,94.9,4.0,16.099999999999994,2.9,63.5,35.9,42.0,25.6,38.3,24.2,65.8,36.5,39.8,39.9,67.9,37.9,1.3000000000000043,-62.7,-46.2,-33.099999999999994,-1.3000000000000043,62.7,46.2,33.099999999999994,26.5925,25.148799999999994,15.880199999999997,26.496084616410787,11.2189,49.7511,25.7341,24.265544845864618,0.9999749379714795,25.8,39.9,0.7519590512123692,36.5,71.5,0.0,-0.010000000000019327,-0.010000000000005116,37.55,94.34051680804687,-9.5,46.083999999999996,10.5957,79.56026720783822,0.6641801216837462,77.13646082909789,2.9053941447697347,-0.38025,-0.38025,829.4700000000003,0.08833055255667877,31.536,-829.4700000000003,11.319590174052587,26.784000000000002,54.39000000000001,43.16,2,69.05461396424305,-2.0999999999999996,-2.5999999999999996,8.387506168357884
5,2015 Providence,2015,Providence,Region 2,6,First Round,1,Ed Cooley,2015 Ed Cooley,Big East,BE,2015 BE,2015 Providence,2015 Providence,14.3,31.7,23.4,13.1,10.6,10.6,37.3,20.8,11.2,9.6,112.954,104.6129,17.5673,78.61,4.81,1.43,29.23,16.27,19.37,21.66,23.52,19.18,27.81,31.9,17.36,15.33,7.6,21.74,20.16,17.67,21.25,19.18,3.552458314,111.7856825,105.96498911,0.879588346,48.6,51.9,41.6,61.5,82.1,19.7,35.3,29.5,65.7,49.4,53.0,31.0,66.7,13.6,92.1,57.5,45.8,28.4,35.8,65.8,71.0,31.200000000000003,88.2,6.9,3.4000000000000057,5.0,60.0,38.9,41.3,36.7,35.6,32.1,68.4,27.1,31.3,29.0,66.7,36.3,-3.299999999999997,-62.39999999999999,-35.2,-19.9,3.299999999999997,62.39999999999999,35.2,19.9,29.425800000000002,20.5046,9.077,26.199793256181753,15.3271,42.74850000000001,24.2121,30.34627928868161,1.5792558877280092,17.9,45.8,1.1487286851601886,27.1,58.3,0.0,1.4210854715202004e-14,0.0,29.23,97.255541947852,-2.200000000000003,39.9006,10.2243,80.25201087649873,0.7160558399023673,78.42442915738425,2.558516284006479,3.1649799999999995,3.1649799999999995,1034.7999999999997,0.14766397758981986,18.732999999999997,-1034.7999999999997,6.77156091463863,15.158,53.26500000000001,40.81,1,67.24034587283492,-1.9000000000000004,-1.0,8.297226754762034
6,2015 Michigan St.,2015,Michigan St.,Region 2,7,Final Four,3,Tom Izzo,2015 Tom Izzo,Big 10,B10,2015 B10,2015 Michigan St.,2015 Michigan St.,16.2,31.7,35.1,22.8,12.9,11.4,37.4,23.7,16.5,7.2,115.973,104.948,20.9213,76.2,-0.88,1.85,31.77,17.88,22.17,22.52,20.4,17.02,39.61,35.52,16.17,4.18,4.52,23.85,29.97,23.65,9.67,12.85,2.973485124,114.7703742,107.44123301,0.922265264,53.8,54.3,31.9,62.3,82.1,17.0,34.6,26.0,63.2,51.6,55.9,38.6,67.7,13.2,92.7,64.6,49.5,34.7,35.3,64.1,63.3,28.299999999999997,88.5,9.2,17.900000000000006,4.0,67.6,30.9,43.5,32.6,35.6,34.2,68.7,33.5,38.6,35.0,68.6,33.9,-0.5,-65.1,-39.4,-30.4,0.5,65.1,39.4,30.4,29.030399999999997,25.685200000000002,13.51,25.164839889549597,14.897000000000002,46.26989999999999,23.255399999999995,24.275416233987283,1.1456815519556582,15.799999999999997,40.099999999999994,1.0796141706734317,33.5,63.4,0.010000000000005116,1.4210854715202004e-14,0.010000000000005116,31.77,97.5203790612273,-3.9000000000000057,44.169799999999995,9.231,80.08278275751486,0.7783038758569173,76.6068683038398,2.765208647561588,-0.5640799999999999,-0.5640799999999999,256.18000000000006,0.14239328594082046,42.18000000000001,-256.18000000000006,7.022195288235741,23.865000000000002,53.75,40.515,2,69.58595063436384,-6.300000000000001,-5.7,8.550414963458442
7,2015 NC St.,2015,North Carolina St.,Region 2,8,Sweet 16,2,Mark Gottfried,2015 Mark Gottfried,ACC,ACC,2015 ACC,2015 North Carolina St.,2015 N.C. State,11.4,36.3,16.9,13.0,4.1,9.5,40.7,15.2,12.3,2.9,114.001,101.3623,15.3629,77.68,1.03,1.31,32.18,17.15,15.2,20.61,24.22,22.82,30.05,36.63,13.03,10.21,10.07,25.71,27.19,16.65,16.32,14.13,1.033735931,113.2909892,102.70642312,0.852029295,49.6,54.5,36.1,65.9,83.8,15.4,34.1,30.5,64.5,47.4,56.4,36.1,66.8,13.6,89.9,46.7,48.5,32.4,31.3,64.9,68.5,29.700000000000003,85.7,8.0,11.0,5.2,59.4,31.2,46.4,33.7,37.1,36.6,65.9,34.9,35.7,32.2,67.1,31.4,-4.899999999999999,-68.39999999999999,-35.400000000000006,-29.800000000000004,4.899999999999999,68.39999999999999,35.400000000000006,29.800000000000004,25.388799999999996,25.074000000000005,11.495400000000002,23.477986143051822,16.2088,44.0685,21.069399999999995,26.179763176927327,1.217353498338561,13.399999999999999,39.2,1.2388140505079457,34.9,61.099999999999994,0.0,0.009999999999990905,0.0,32.18,96.21531375144518,-3.0999999999999943,41.5648,8.393,87.21429557324068,0.5520029314074302,79.2060867950735,2.993642367755076,0.6684700000000001,0.6684700000000001,515.6199999999997,0.15127751637912812,17.03,-515.6199999999997,6.609808102345417,5.3709999999999996,53.025000000000006,41.635000000000005,1,69.88225066519648,-0.6999999999999993,-1.1999999999999997,8.746772747138262
8,2015 LSU,2015,LSU,Region 2,9,First Round,1,Johnny Jones,2015 Johnny Jones,SEC,SEC,2015 SEC,2015 LSU,2015 LSU,12.8,29.6,21.8,11.0,9.0,7.0,39.0,13.8,7.2,6.8,108.743,105.2004,13.9432,77.72,3.12,1.19,21.39,21.11,23.88,19.45,19.97,15.6,31.4,35.84,16.99,9.11,6.67,25.36,29.58,17.78,15.2,12.08,0.449160534,107.1007991,106.33894986,0.823757059,50.5,55.4,33.4,70.0,79.5,19.2,34.0,33.0,69.8,50.3,56.4,33.9,68.7,14.0,91.2,57.7,52.8,28.5,28.9,70.3,68.9,33.8,94.1,7.2,9.799999999999997,5.7,63.8,39.2,43.4,35.9,33.6,32.3,68.9,34.8,33.9,28.4,69.1,29.3,-4.899999999999999,-60.3,-33.0,-36.6,4.899999999999999,60.3,33.0,36.6,31.784799999999997,20.4804,9.6276,28.879808401949848,16.1392,44.223499999999994,20.246299999999998,28.06100497131206,1.63374529065878,17.700000000000003,46.400000000000006,1.4197467663219685,34.8,58.4,-0.009999999999990905,-0.010000000000005116,0.0,21.39,97.00208906069577,2.299999999999997,40.1475,10.6368,80.93220933924394,0.7141000730188983,80.43669575120703,2.5754841227257206,2.19336,2.19336,-64.73999999999978,0.15350708873806207,13.09,64.73999999999978,6.513820441397043,10.709999999999999,51.885,44.06,1,66.115763837705,-3.8,-2.2,7.836649512268847
9,2015 Georgia,2015,Georgia,Region 2,10,First Round,1,Mark Fox,2015 Mark Fox,SEC,SEC,2015 SEC,2015 Georgia,2015 Georgia,12.7,35.3,17.8,13.8,5.5,6.7,41.3,16.7,10.0,6.7,109.524,105.8698,15.3937,76.95,0.3,1.87,29.19,20.58,20.97,18.48,20.67,19.3,28.95,29.62,19.31,12.79,9.33,22.56,22.88,20.37,18.22,15.97,1.524672462,107.8484049,106.84781103,0.843520321,48.9,55.8,47.8,65.7,80.7,16.8,32.3,28.9,64.8,47.7,57.0,34.4,69.0,12.6,89.4,55.4,53.2,31.3,35.4,64.7,68.9,29.700000000000003,94.8,4.9,16.200000000000003,3.0,62.6,36.6,42.9,26.2,29.6,32.4,66.1,38.4,34.2,31.0,68.9,35.3,-6.899999999999999,-63.900000000000006,-38.800000000000004,-17.900000000000006,6.899999999999999,63.900000000000006,38.800000000000004,17.900000000000006,27.556800000000003,20.1924,10.602,30.10669914376754,11.725800000000001,49.7041,24.3217,24.49875847194438,1.3386664946292055,17.6,41.5,0.8271720347865501,38.4,70.8,0.0,1.4210854715202004e-14,0.0,29.19,98.93620960711237,-3.299999999999997,39.4623,9.3744,81.67036835075244,0.6658573815218566,78.12273605669336,2.756333868711466,0.1941,0.1941,1342.1299999999999,0.1409380208275075,25.806000000000004,-1342.1299999999999,7.094675025791605,10.285,53.365,42.155,0,64.74943190649749,-3.8000000000000007,1.2000000000000002,7.845062094552984
