game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20151101a,a,1101,2015,Region 1,First Round,1,2015 Kentucky,16,2015 Hampton,79,56,23,135,1
20151102a,a,1102,2015,Region 1,First Round,8,2015 Cincinnati,9,2015 Purdue,66,65,1,131,1
20151103a,a,1103,2015,Region 1,First Round,5,2015 West Virginia,12,2015 Buffalo,68,62,6,130,1
20151104a,a,1104,2015,Region 1,First Round,4,2015 Maryland,13,2015 Valparaiso,65,62,3,127,1
20151105a,a,1105,2015,Region 1,First Round,6,2015 Butler,11,2015 Texas,56,48,8,104,1
20151106a,a,1106,2015,Region 1,First Round,3,2015 Notre Dame,14,2015 Northeastern,69,65,4,134,1
20151107a,a,1107,2015,Region 1,First Round,7,2015 Wichita St.,10,2015 Indiana,81,76,5,157,1
20151108a,a,1108,2015,Region 1,First Round,2,2015 Kansas,15,2015 New Mexico St.,75,56,19,131,1
20151201a,a,1201,2015,Region 4,First Round,1,2015 Wisconsin,16,2015 Coastal Carolina,86,72,14,158,1
20151202a,a,1202,2015,Region 4,First Round,8,2015 Oregon,9,2015 Oklahoma St.,79,73,6,152,1
20151203a,a,1203,2015,Region 4,First Round,5,2015 Arkansas,12,2015 Wofford,56,53,3,109,1
20151204a,a,1204,2015,Region 4,First Round,4,2015 North Carolina,13,2015 Harvard,67,65,2,132,1
20151205a,a,1205,2015,Region 4,First Round,6,2015 Xavier,11,2015 Mississippi,76,57,19,133,1
20151206a,a,1206,2015,Region 4,First Round,3,2015 Baylor,14,2015 Georgia St.,56,57,-1,113,0
20151207a,a,1207,2015,Region 4,First Round,7,2015 VCU,10,2015 Ohio St.,72,75,-3,147,0
20151208a,a,1208,2015,Region 4,First Round,2,2015 Arizona,15,2015 Texas Southern,93,72,21,165,1
20151301a,a,1301,2015,Region 2,First Round,1,2015 Villanova,16,2015 Lafayette,93,52,41,145,1
20151302a,a,1302,2015,Region 2,First Round,8,2015 NC St.,9,2015 LSU,66,65,1,131,1
20151303a,a,1303,2015,Region 2,First Round,5,2015 Northern Iowa,12,2015 Wyoming,71,54,17,125,1
20151304a,a,1304,2015,Region 2,First Round,4,2015 Louisville,13,2015 UC Irvine,57,55,2,112,1
20151305a,a,1305,2015,Region 2,First Round,6,2015 Providence,11,2015 Dayton,53,66,-13,119,0
20151306a,a,1306,2015,Region 2,First Round,3,2015 Oklahoma,14,2015 Albany,69,60,9,129,1
20151307a,a,1307,2015,Region 2,First Round,7,2015 Michigan St.,10,2015 Georgia,70,63,7,133,1
20151308a,a,1308,2015,Region 2,First Round,2,2015 Virginia,15,2015 Belmont,79,67,12,146,1
20151401a,a,1401,2015,Region 3,First Round,1,2015 Duke,16,2015 Robert Morris,85,56,29,141,1
20151402a,a,1402,2015,Region 3,First Round,8,2015 San Diego St.,9,2015 St. John's,76,64,12,140,1
20151403a,a,1403,2015,Region 3,First Round,5,2015 Utah,12,2015 Stephen F. Austin,57,50,7,107,1
20151404a,a,1404,2015,Region 3,First Round,4,2015 Georgetown,13,2015 Eastern Washington,84,74,10,158,1
20151405a,a,1405,2015,Region 3,First Round,6,2015 SMU,11,2015 UCLA,59,60,-1,119,0
20151406a,a,1406,2015,Region 3,First Round,3,2015 Iowa St.,14,2015 UAB,59,60,-1,119,0
20151407a,a,1407,2015,Region 3,First Round,7,2015 Iowa,10,2015 Davidson,83,52,31,135,1
20151408a,a,1408,2015,Region 3,First Round,2,2015 Gonzaga,15,2015 North Dakota St.,86,76,10,162,1
20152109a,a,2109,2015,Region 1,Second Round,1,2015 Kentucky,8,2015 Cincinnati,64,51,13,115,1
20152110a,a,2110,2015,Region 1,Second Round,5,2015 West Virginia,4,2015 Maryland,69,59,10,128,1
20152111a,a,2111,2015,Region 1,Second Round,6,2015 Butler,3,2015 Notre Dame,64,67,-3,131,0
20152112a,a,2112,2015,Region 1,Second Round,7,2015 Wichita St.,2,2015 Kansas,78,65,13,143,1
20152209a,a,2209,2015,Region 4,Second Round,1,2015 Wisconsin,8,2015 Oregon,72,65,7,137,1
20152210a,a,2210,2015,Region 4,Second Round,5,2015 Arkansas,4,2015 North Carolina,78,87,-9,165,0
20152211a,a,2211,2015,Region 4,Second Round,6,2015 Xavier,14,2015 Georgia St.,75,67,8,142,1
20152212a,a,2212,2015,Region 4,Second Round,10,2015 Ohio St.,2,2015 Arizona,58,73,-15,131,0
20152309a,a,2309,2015,Region 2,Second Round,1,2015 Villanova,8,2015 NC St.,68,71,-3,139,0
20152310a,a,2310,2015,Region 2,Second Round,5,2015 Northern Iowa,4,2015 Louisville,53,66,-13,119,0
20152311a,a,2311,2015,Region 2,Second Round,11,2015 Dayton,3,2015 Oklahoma,66,72,-6,138,0
20152312a,a,2312,2015,Region 2,Second Round,7,2015 Michigan St.,2,2015 Virginia,60,54,6,114,1
20152409a,a,2409,2015,Region 3,Second Round,1,2015 Duke,8,2015 San Diego St.,68,49,19,117,1
20152410a,a,2410,2015,Region 3,Second Round,5,2015 Utah,4,2015 Georgetown,75,64,11,139,1
20152411a,a,2411,2015,Region 3,Second Round,11,2015 UCLA,14,2015 UAB,92,75,17,167,1
20152412a,a,2412,2015,Region 3,Second Round,7,2015 Iowa,2,2015 Gonzaga,68,87,-19,155,0
20153113a,a,3113,2015,Region 1,Sweet 16,1,2015 Kentucky,5,2015 West Virginia,78,39,39,117,1
20153113a,a,3113,2015,Region 1,Sweet 16,3,2015 Notre Dame,7,2015 Wichita St.,81,70,11,151,1
20153213a,a,3213,2015,Region 4,Sweet 16,1,2015 Wisconsin,4,2015 North Carolina,79,72,7,151,1
20153214a,a,3214,2015,Region 4,Sweet 16,6,2015 Xavier,2,2015 Arizona,60,68,-8,128,0
20153313a,a,3313,2015,Region 2,Sweet 16,8,2015 NC St.,4,2015 Louisville,65,75,-10,140,0
20153314a,a,3314,2015,Region 2,Sweet 16,3,2015 Oklahoma,7,2015 Michigan St.,58,62,-4,120,0
20153413a,a,3413,2015,Region 3,Sweet 16,1,2015 Duke,5,2015 Utah,63,57,6,120,1
20153414a,a,3414,2015,Region 3,Sweet 16,11,2015 UCLA,2,2015 Gonzaga,62,74,-12,136,0
20154115a,a,4115,2015,Region 1,Elite Eight,1,2015 Kentucky,3,2015 Notre Dame,68,66,2,134,1
20154215a,a,4215,2015,Region 4,Elite Eight,1,2015 Wisconsin,2,2015 Arizona,85,78,7,163,1
20154315a,a,4315,2015,Region 2,Elite Eight,4,2015 Louisville,7,2015 Michigan St.,70,76,-6,146,0
20154415a,a,4415,2015,Region 3,Elite Eight,1,2015 Duke,2,2015 Gonzaga,66,52,14,118,1
20155516a,a,5516,2015,Final Four,Final Four,1,2015 Kentucky,1,2015 Wisconsin,64,71,-7,135,0
20155517a,a,5517,2015,Final Four,Final Four,7,2015 Michigan St.,1,2015 Duke,61,81,-20,142,0
20155618a,a,5618,2015,Final Four,Championship,1,2015 Wisconsin,1,2015 Duke,63,68,-5,131,0
20161101a,a,1101,2016,Region 1,First Round,1,2016 Kansas,16,2016 Austin Peay,105,79,26,184,1
20161102a,a,1102,2016,Region 1,First Round,8,2016 Colorado,9,2016 Connecticut,67,74,-7,141,0
20161103a,a,1103,2016,Region 1,First Round,5,2016 Maryland,12,2016 South Dakota St.,79,74,5,153,1
20161104a,a,1104,2016,Region 1,First Round,4,2016 California,13,2016 Hawaii,66,77,-11,143,0
20161105a,a,1105,2016,Region 1,First Round,6,2016 Arizona,11,2016 Wichita St.,55,65,-10,120,0
20161106a,a,1106,2016,Region 1,First Round,3,2016 Miami FL,14,2016 Buffalo,79,72,7,151,1
20161107a,a,1107,2016,Region 1,First Round,7,2016 Iowa,10,2016 Temple,72,70,2,142,1
20161108a,a,1108,2016,Region 1,First Round,2,2016 Villanova,15,2016 UNC Asheville,86,56,30,142,1
20161201a,a,1201,2016,Region 4,First Round,1,2016 Oregon,16,2016 Holy Cross,91,52,39,143,1
20161202a,a,1202,2016,Region 4,First Round,8,2016 Saint Joseph's,9,2016 Cincinnati,78,76,2,154,1
20161203a,a,1203,2016,Region 4,First Round,5,2016 Baylor,12,2016 Yale,75,79,-4,154,0
20161204a,a,1204,2016,Region 4,First Round,4,2016 Duke,13,2016 UNC Wilmington,93,85,8,178,1
20161205a,a,1205,2016,Region 4,First Round,6,2016 Texas,11,2016 Northern Iowa,72,75,-3,147,0
20161206a,a,1206,2016,Region 4,First Round,3,2016 Texas A&M,14,2016 Green Bay,92,65,27,157,1
20161207a,a,1207,2016,Region 4,First Round,7,2016 Oregon St.,10,2016 VCU,67,75,-8,142,0
20161208a,a,1208,2016,Region 4,First Round,2,2016 Oklahoma,15,2016 Cal St. Bakersfield,82,68,14,150,1
20161301a,a,1301,2016,Region 2,First Round,1,2016 North Carolina,16,2016 Florida Gulf Coast,83,67,16,150,1
20161302a,a,1302,2016,Region 2,First Round,8,2016 USC,9,2016 Providence,69,70,-1,139,0
20161303a,a,1303,2016,Region 2,First Round,5,2016 Indiana,12,2016 Chattanooga,99,74,25,173,1
20161304a,a,1304,2016,Region 2,First Round,4,2016 Kentucky,13,2016 Stony Brook,85,57,28,142,1
20161305a,a,1305,2016,Region 2,First Round,6,2016 Notre Dame,11,2016 Michigan,70,63,7,133,1
20161306a,a,1306,2016,Region 2,First Round,3,2016 West Virginia,14,2016 Stephen F. Austin,56,70,-14,126,0
20161307a,a,1307,2016,Region 2,First Round,7,2016 Wisconsin,10,2016 Pittsburgh,47,43,4,90,1
