year,team,kenpom_id,kenpom_off,kenpom_def,kenpom_rtg
2026,Abilene Christian,2026 Abilene Christian,101.082,107.642,-6.56086
2026,Air Force,2026 Air Force,95.5989,115.549,-19.9503
2026,Akron,2026 Akron,118.82,106.022,12.7986
2026,Alabama,2026 Alabama,129.004,103.284,25.7196
2026,Alabama A&M,2026 Alabama A&M,103.96,116.689,-12.7294
2026,Alabama St.,2026 Alabama St.,99.2112,113.638,-14.4265
2026,Albany,2026 Albany,103.254,118.193,-14.9394
2026,Alcorn St.,2026 Alcorn St.,96.3499,116.524,-20.174
2026,American,2026 American,105.592,111.903,-6.31143
2026,Appalachian St.,2026 Appalachian St.,105.842,108.177,-2.33442
2026,Arizona,2026 Arizona,127.676,90.0201,37.6556
2026,Arizona St.,2026 Arizona St.,115.75,103.227,12.5236
2026,Arkansas,2026 Arkansas,127.658,101.605,26.0527
2026,Arkansas Pine Bluff,2026 Arkansas Pine Bluff,104.006,117.32,-13.3137
2026,Arkansas St.,2026 Arkansas St.,110.617,109.226,1.39096
2026,Army,2026 Army,100.108,118.502,-18.394
2026,Auburn,2026 Auburn,124.784,105.766,19.0181
2026,Austin Peay,2026 Austin Peay,108.007,108.291,-0.284699
2026,Ball St.,2026 Ball St.,98.5677,109.876,-11.3081
2026,Baylor,2026 Baylor,122.945,106.944,16.0006
2026,Bellarmine,2026 Bellarmine,116.486,126.142,-9.65667
2026,Belmont,2026 Belmont,120.667,108.407,12.2609
2026,Bethune Cookman,2026 Bethune Cookman,103.554,110.152,-6.59844
2026,Binghamton,2026 Binghamton,97.5949,123.093,-25.4985
2026,Boise St.,2026 Boise St.,117.022,103.842,13.1801
2026,Boston College,2026 Boston College,103.739,102.671,1.06781
2026,Boston University,2026 Boston University,111.758,119.763,-8.00482
2026,Bowling Green,2026 Bowling Green,107.249,105.742,1.50686
2026,Bradley,2026 Bradley,111.705,107.75,3.95502
2026,Brown,2026 Brown,97.9317,108.778,-10.8463
2026,Bryant,2026 Bryant,96.6109,119.62,-23.0094
2026,Bucknell,2026 Bucknell,98.1926,114.809,-16.6161
2026,Buffalo,2026 Buffalo,112.486,115.285,-2.79909
2026,Butler,2026 Butler,116.093,106.6,9.49317
2026,BYU,2026 BYU,125.46,102.214,23.2459
2026,Cal Baptist,2026 Cal Baptist,107.926,101.933,5.99314
2026,Cal Poly,2026 Cal Poly,109.411,113.052,-3.64102
2026,Cal St. Bakersfield,2026 Cal St. Bakersfield,101.907,117.187,-15.28
2026,Cal St. Fullerton,2026 Cal St. Fullerton,109.385,109.008,0.376055
2026,California,2026 California,114.057,102.626,11.4306
2026,Campbell,2026 Campbell,111.177,112.643,-1.46653
2026,Canisius,2026 Canisius,95.2614,114.485,-19.2234
2026,Central Arkansas,2026 Central Arkansas,110.175,108.92,1.25491
2026,Central Connecticut,2026 Central Connecticut,104.665,117.38,-12.7147
2026,Central Michigan,2026 Central Michigan,105.948,114.99,-9.04137
2026,Charleston,2026 Charleston,108.014,108.201,-0.187291
2026,Charleston Southern,2026 Charleston Southern,105.745,112.224,-6.47907
2026,Charlotte,2026 Charlotte,113.009,114.489,-1.48051
2026,Chattanooga,2026 Chattanooga,105.381,117.646,-12.2653
2026,Chicago St.,2026 Chicago St.,99.3984,118.975,-19.5764
2026,Cincinnati,2026 Cincinnati,111.202,93.7094,17.4923
2026,Clemson,2026 Clemson,116.522,97.2852,19.2364
2026,Cleveland St.,2026 Cleveland St.,109.388,124.004,-14.6164
2026,Coastal Carolina,2026 Coastal Carolina,101.76,108.62,-6.86016
2026,Colgate,2026 Colgate,107.724,114.747,-7.02253
2026,Colorado,2026 Colorado,118.908,106.793,12.1148
2026,Colorado St.,2026 Colorado St.,118.93,109.438,9.49107
2026,Columbia,2026 Columbia,108.512,110.47,-1.95798
2026,Connecticut,2026 Connecticut,121.986,94.1163,27.8694
2026,Coppin St.,2026 Coppin St.,92.0962,119.661,-27.5651
2026,Cornell,2026 Cornell,119.806,119.299,0.507344
2026,Creighton,2026 Creighton,116.23,105.218,11.0124
2026,CSUN,2026 CSUN,108.943,109.312,-0.369703
2026,Dartmouth,2026 Dartmouth,104.737,114.102,-9.36429
2026,Davidson,2026 Davidson,109.599,104.659,4.93965
2026,Dayton,2026 Dayton,110.584,99.6777,10.9066
2026,Delaware,2026 Delaware,104.433,115.704,-11.2705
2026,Delaware St.,2026 Delaware St.,87.081,114.35,-27.2687
2026,Denver,2026 Denver,115.989,121.987,-5.99838
2026,DePaul,2026 DePaul,107.14,100.305,6.83476
2026,Detroit Mercy,2026 Detroit Mercy,107.949,112.1,-4.15085
2026,Drake,2026 Drake,109.93,112.569,-2.63918
2026,Drexel,2026 Drexel,102.364,107.077,-4.71292
2026,Duke,2026 Duke,127.956,89.0562,38.8998
2026,Duquesne,2026 Duquesne,110.721,107.272,3.44866
2026,East Carolina,2026 East Carolina,103.621,111.049,-7.42773
2026,East Tennessee St.,2026 East Tennessee St.,109.662,109.227,0.43566
2026,East Texas A&M,2026 East Texas A&M,100.666,111.497,-10.8302
2026,Eastern Illinois,2026 Eastern Illinois,96.8529,111.712,-14.8587
2026,Eastern Kentucky,2026 Eastern Kentucky,109.118,120.782,-11.6639
2026,Eastern Michigan,2026 Eastern Michigan,101.898,108.285,-6.38712
2026,Eastern Washington,2026 Eastern Washington,113.076,113.08,-0.00486081
2026,Elon,2026 Elon,110.066,115.795,-5.72962
2026,Evansville,2026 Evansville,101.909,114.763,-12.8536
2026,Fairfield,2026 Fairfield,105.799,113.897,-8.09766
2026,Fairleigh Dickinson,2026 Fairleigh Dickinson,100.805,118.431,-17.6257
2026,FIU,2026 FIU,107.404,109.632,-2.22799
2026,Florida,2026 Florida,125.535,91.7424,33.7928
2026,Florida A&M,2026 Florida A&M,97.8969,110.911,-13.0136
2026,Florida Atlantic,2026 Florida Atlantic,109.669,106.363,3.30628
2026,Florida Gulf Coast,2026 Florida Gulf Coast,105.545,112.154,-6.60869
2026,Florida St.,2026 Florida St.,118.403,104.922,13.4814
2026,Fordham,2026 Fordham,104.609,104.135,0.474457
2026,Fresno St.,2026 Fresno St.,107.415,104.33,3.08503
2026,Furman,2026 Furman,107.451,109.43,-1.9789
2026,Gardner Webb,2026 Gardner Webb,95.5464,121.967,-26.4211
2026,George Mason,2026 George Mason,113.082,105.581,7.50068
2026,George Washington,2026 George Washington,117.585,107.95,9.63533
2026,Georgetown,2026 Georgetown,114.609,103.714,10.8946
2026,Georgia,2026 Georgia,124.681,104.202,20.4792
2026,Georgia Southern,2026 Georgia Southern,110.184,116.236,-6.05187
2026,Georgia St.,2026 Georgia St.,99.3298,112.275,-12.9449
2026,Georgia Tech,2026 Georgia Tech,107.672,107.087,0.5849
2026,Gonzaga,2026 Gonzaga,121.99,93.8895,28.1006
2026,Grambling St.,2026 Grambling St.,96.8561,108.632,-11.7755
2026,Grand Canyon,2026 Grand Canyon,110.989,97.7967,13.192
2026,Green Bay,2026 Green Bay,112.525,116.025,-3.50029
2026,Hampton,2026 Hampton,102.452,111.645,-9.19375
2026,Harvard,2026 Harvard,106.59,105.332,1.25749
2026,Hawaii,2026 Hawaii,107.129,101.163,5.96572
2026,High Point,2026 High Point,117.048,108.644,8.40428
2026,Hofstra,2026 Hofstra,114.57,105.077,9.49239
2026,Holy Cross,2026 Holy Cross,100.826,117.243,-16.4166
2026,Houston,2026 Houston,124.864,91.4372,33.4265
2026,Houston Christian,2026 Houston Christian,102.868,114.01,-11.1422
2026,Howard,2026 Howard,103.142,106.331,-3.18939
2026,Idaho,2026 Idaho,108.842,107.309,1.53307
2026,Idaho St.,2026 Idaho St.,109.502,116.584,-7.08282
2026,Illinois,2026 Illinois,131.176,99.0756,32.1008
2026,Illinois Chicago,2026 Illinois Chicago,110.42,104.255,6.16485
2026,Illinois St.,2026 Illinois St.,110.543,103.885,6.65838
2026,Incarnate Word,2026 Incarnate Word,108.779,117.273,-8.49334
2026,Indiana,2026 Indiana,120.344,103.164,17.1805
2026,Indiana St.,2026 Indiana St.,106.193,109.064,-2.87067
2026,Iona,2026 Iona,103.959,111.683,-7.72403
2026,Iowa,2026 Iowa,121.742,99.2974,22.4441
2026,Iowa St.,2026 Iowa St.,123.826,91.4031,32.423
2026,IU Indy,2026 IU Indy,105.432,119.326,-13.8943
2026,Jackson St.,2026 Jackson St.,99.9792,118.84,-18.8604
2026,Jacksonville,2026 Jacksonville,103.046,114.52,-11.4739
2026,Jacksonville St.,2026 Jacksonville St.,105.147,108.527,-3.3804
2026,James Madison,2026 James Madison,109.136,113.049,-3.91273
2026,Kansas,2026 Kansas,118.33,93.8906,24.4399
2026,Kansas City,2026 Kansas City,92.0319,117.13,-25.0983
2026,Kansas St.,2026 Kansas St.,113.248,106.273,6.97524
2026,Kennesaw St.,2026 Kennesaw St.,110.636,110.064,0.572421
2026,Kent St.,2026 Kent St.,111.795,110.294,1.50055
2026,Kentucky,2026 Kentucky,120.516,99.0324,21.4832
2026,La Salle,2026 La Salle,105.669,111.546,-5.87679
2026,Lafayette,2026 Lafayette,100.728,115.904,-15.1759
2026,Lamar,2026 Lamar,103.082,109.381,-6.29903
2026,Le Moyne,2026 Le Moyne,101.981,113.788,-11.807
2026,Lehigh,2026 Lehigh,102.717,113.086,-10.3689
2026,Liberty,2026 Liberty,117.619,113.722,3.89752
2026,Lindenwood,2026 Lindenwood,100.47,108.979,-8.50933
2026,Lipscomb,2026 Lipscomb,106.88,109.717,-2.837
2026,Little Rock,2026 Little Rock,102.744,115.699,-12.9555
2026,LIU,2026 LIU,105.631,109.582,-3.95107
2026,Long Beach St.,2026 Long Beach St.,105.575,111.345,-5.7704
2026,Longwood,2026 Longwood,103.444,112.569,-9.12469
2026,Louisiana,2026 Louisiana,100.091,113.367,-13.2755
2026,Louisiana Monroe,2026 Louisiana Monroe,101.17,122.223,-21.0536
2026,Louisiana Tech,2026 Louisiana Tech,102.906,105.81,-2.90441
