year,team,kenpom_id,kenpom_off,kenpom_def,kenpom_rtg
2015,Abilene Christian,2015 Abilene Christian,92.8823,113.168,-20.2857
2015,Air Force,2015 Air Force,107.788,110.527,-2.73925
2015,Akron,2015 Akron,104.892,98.6939,6.1982
2015,Alabama,2015 Alabama,110.461,98.9436,11.5173
2015,Alabama A&M,2015 Alabama A&M,94.5181,113.615,-19.0969
2015,Alabama St.,2015 Alabama St.,97.2697,105.666,-8.39607
2015,Albany,2015 Albany,106.463,103.431,3.03231
2015,Alcorn St.,2015 Alcorn St.,92.3927,116.803,-24.4098
2015,American,2015 American,101.965,103.866,-1.90165
2015,Appalachian St.,2015 Appalachian St.,97.7043,107.682,-9.97801
2015,Arizona,2015 Arizona,118.227,85.9123,32.3143
2015,Arizona St.,2015 Arizona St.,109.36,98.8215,10.5388
2015,Arkansas,2015 Arkansas,114.941,97.964,16.9767
2015,Arkansas Little Rock,2015 Arkansas Little Rock,103.694,109.623,-5.92892
2015,Arkansas Pine Bluff,2015 Arkansas Pine Bluff,92.0172,108.883,-16.8655
2015,Arkansas St.,2015 Arkansas St.,95.5212,106.74,-11.2185
2015,Army,2015 Army,99.6523,107.303,-7.65079
2015,Auburn,2015 Auburn,105.429,102.807,2.62163
2015,Austin Peay,2015 Austin Peay,93.9174,108.698,-14.7801
2015,Ball St.,2015 Ball St.,100.189,107.402,-7.21305
2015,Baylor,2015 Baylor,117.192,93.7123,23.4796
2015,Belmont,2015 Belmont,109.115,107.619,1.49515
2015,Bethune Cookman,2015 Bethune Cookman,90.6353,109.419,-18.7841
2015,Binghamton,2015 Binghamton,93.45,109.914,-16.464
2015,Boise St.,2015 Boise St.,111.769,97.7869,13.9824
2015,Boston College,2015 Boston College,107.308,101.877,5.43022
2015,Boston University,2015 Boston University,105.87,112.282,-6.41182
2015,Bowling Green,2015 Bowling Green,105.767,98.6136,7.1538
2015,Bradley,2015 Bradley,93.1203,100.985,-7.8648
2015,Brown,2015 Brown,98.8719,107.323,-8.45149
2015,Bryant,2015 Bryant,103.609,109.506,-5.89728
2015,Bucknell,2015 Bucknell,105.043,108.302,-3.25924
2015,Buffalo,2015 Buffalo,111.344,99.0045,12.339
