year,team,kenpom_id,size,height,experience,bench,pts_from_5,pts_from_4,pts_from_3,pts_from_2,pts_from_1,or_from_5,or_from_4,or_from_3,or_from_2,or_from_1,dr_from_5,dr_from_4,dr_from_3,dr_from_2,dr_from_1
2026,Abilene Christian,2026 Abilene Christian,76.65,-0.85,1.27022,34.3,17.45,25.78,22.73,16.81,17.22,31.66,19.61,9.81,15.67,23.25,29.52,22.41,15.6,14.85,17.61
2026,Air Force,2026 Air Force,78.22,0.81,0.355848,30.37,21.6,25.07,14.88,15.21,23.19,34.39,14.71,27.55,13.72,9.55,22.18,15.42,23.24,15.34,23.76
2026,Akron,2026 Akron,75.93,-1.39,1.65732,29.22,21.05,16.1,15.87,20.06,26.87,38.43,33.01,13.37,6.17,8.97,30.83,24.33,17.24,15,12.54
2026,Alabama,2026 Alabama,78.17,1.32,2.03223,33.79,16.09,16.94,15.39,27.82,23.76,35.64,25.4,26.17,7.93,4.87,22.91,26.67,22.35,14.19,13.88
2026,Alabama A&M,2026 Alabama A&M,77.47,-0.02,1.37491,27.55,14.77,17.04,23.01,21.13,24,40.11,21.87,17.21,10.23,10.51,27.13,19.32,20.59,16.84,16.05
2026,Alabama St.,2026 Alabama St.,77.06,-0.54,0.982868,32.55,19.45,18.03,12.81,25.7,23.96,34.25,35.24,17.25,7.28,5.91,23.82,23.77,17.97,17.14,17.23
2026,Albany,2026 Albany,77.12,0.63,0.708398,29.38,19.63,18.8,16.32,18.18,27.07,37.28,16.48,29.23,11.27,5.74,27.21,19.29,19.89,18.84,14.78
2026,Alcorn St.,2026 Alcorn St.,76.45,-1.02,0.838466,29.75,23.62,19.22,16.98,22.55,17.62,35.17,23.89,20.03,9.09,11.82,29.68,25.06,16.04,13.51,15.7
2026,American,2026 American,77.08,-1.44,1.39832,30.09,20.3,17.7,27.71,15.42,18.85,22.03,18.91,33.06,20.53,5.44,24.8,20.88,26.03,14.27,14.01
2026,Appalachian St.,2026 Appalachian St.,76.66,-0.16,2.0245,26.84,18.38,16.59,22.48,19.89,22.63,42.87,31.86,10.23,4.71,10.3,25.87,23.68,16.43,12.47,21.51
2026,Arizona,2026 Arizona,79.01,1.52,1.58006,28.85,17.24,21.48,18.07,22.13,21.07,32.7,42.9,13.69,4.6,6.07,23.49,28.65,15.59,16.8,15.44
2026,Arizona St.,2026 Arizona St.,79.01,3.14,1.49871,30.26,22.35,16.76,13.78,21.44,25.63,27.89,34.15,21.94,9.05,6.92,23.38,25.43,20.37,15.55,15.23
2026,Arkansas,2026 Arkansas,78.51,1.1,1.58959,26.97,16.42,18.2,18.87,19.23,27.25,46.18,21.96,19.93,7.13,4.75,22.91,30.92,18.38,14.55,13.19
2026,Arkansas Pine Bluff,2026 Arkansas Pine Bluff,76.84,-0.98,0.952488,17.56,24.09,18.39,14.88,24.54,18.11,39.81,15.73,8.24,28.93,7.29,28.78,18.27,15.62,27.54,9.78
2026,Arkansas St.,2026 Arkansas St.,78.37,0.93,1.55813,26.28,13.51,19.19,21.06,21.37,24.84,31.68,23.9,20.15,12.43,11.77,25.45,25.19,23.67,12.48,13.14
2026,Army,2026 Army,75.98,-1.7,0.947845,30.19,17.78,16.69,20.65,24.4,20.41,27.56,28.56,18.51,16.91,8.39,22.84,16.7,15.69,25.13,19.57
2026,Auburn,2026 Auburn,78.26,0.16,1.50547,22.98,18.75,15.29,21.48,22.41,22.01,40.15,22.95,19.27,11.56,5.98,26.53,19.89,21.43,17.72,14.36
2026,Austin Peay,2026 Austin Peay,77.39,-0.21,0.844257,25.77,20.28,18.76,25.56,14.09,21.24,43.14,14.52,16.83,8.39,17.01,23.83,24.03,26.23,14.67,11.16
2026,Ball St.,2026 Ball St.,76.3,-1.17,1.81116,30.49,11.31,14.04,22.35,26.7,25.56,35.49,27.82,15.95,14.85,5.81,23.95,19.4,21.01,19.42,16.17
2026,Baylor,2026 Baylor,77.28,-0.63,1.71875,25.23,13.73,18.12,27.2,22.41,18.54,37.75,29.74,20.6,6.12,5.77,23.91,22.82,21.34,19.31,12.6
2026,Bellarmine,2026 Bellarmine,77.85,-0.55,0.918276,28.33,13.75,32.21,22.56,16.45,15.02,22.91,23.81,22.62,20.28,10.38,23.12,25.51,20.94,15.64,14.79
2026,Belmont,2026 Belmont,77.82,0.57,1.01508,38.61,20.93,23.58,21.63,17.43,16.4,34.94,31.3,2.48,21.14,10.12,20.82,27.32,13.04,19.8,18.99
2026,Bethune Cookman,2026 Bethune Cookman,77.56,-1.44,2.01936,32.65,23.23,17.91,25.58,19.08,14.16,34.33,23.91,19.7,11.88,10.14,29.27,19.92,17.13,14.85,18.79
2026,Binghamton,2026 Binghamton,76.38,-0.73,1.15729,25.68,24.89,15.84,15.45,20.35,23.45,42.45,15.29,15.86,16.27,10.08,27.21,19.49,16.04,16.15,21.09
2026,Boise St.,2026 Boise St.,78.87,0.68,1.84581,34.11,26.58,16.93,17.63,19.21,19.65,31.55,26.63,27.3,11.73,2.78,24.77,25.67,22.68,13.75,13.13
2026,Boston College,2026 Boston College,77.82,1.14,1.47924,31.95,21.78,14.03,21.18,20.39,22.56,37.25,35.07,9.92,9.7,7.95,24.18,28.38,18.84,15.23,13.3
2026,Boston University,2026 Boston University,77.59,0.27,0.987721,22.26,22.87,17.79,24.79,19.86,14.65,43.37,22.06,14.69,11.59,8.25,31.33,17.74,18.97,16.17,15.74
2026,Bowling Green,2026 Bowling Green,78.23,0.69,1.51664,28.24,17.36,21.65,13.11,20.85,27.03,41.27,20.83,7.54,14.86,15.5,23.32,25.73,18.2,17.44,15.31
2026,Bradley,2026 Bradley,77.36,1.84,1.78143,32.61,16.79,15.71,19.37,23.94,24.19,29.74,32.56,18.7,8.96,10.02,28.21,24.52,19.17,16.4,11.68
2026,Brown,2026 Brown,76.83,-0.43,0.81549,35.61,16.49,26.62,23.89,15.65,17.31,29.69,35.78,11.88,10.73,11.85,22,26.89,12.84,20.88,17.31
2026,Bryant,2026 Bryant,79.24,1.24,0.368089,29.53,22.26,24.05,16.37,20.07,17.2,28.97,17.07,20.84,18.35,14.73,22.8,23.28,22.75,20.11,11.03
2026,Bucknell,2026 Bucknell,76.3,0.38,1.02536,28.82,27.06,18.26,20.34,21.72,12.59,35.25,24.15,20.2,15.73,4.64,19.01,21.15,25.21,20.71,13.91
2026,Buffalo,2026 Buffalo,76.63,0.47,1.49379,26.45,18.37,12.1,23.94,27.74,17.85,28.19,34.59,14.06,9.6,13.55,30.97,22.99,14.33,16,15.72
2026,Butler,2026 Butler,78.2,0.43,1.84389,33.66,19.19,23.15,15.66,19.46,22.49,31.64,31.81,18.2,8.77,9.52,20.89,37.35,19.18,11.5,11.03
2026,BYU,2026 BYU,78.33,0.69,1.6107,28.18,11.81,29.3,12.77,22.14,23.97,27.68,23.71,22.1,17.13,9.36,26.81,26.61,18.48,16.15,11.93
2026,Cal Baptist,2026 Cal Baptist,76.52,1.24,1.41366,31.75,14.15,18.23,19.13,15.48,32.99,37.8,36.29,10.95,8.13,6.8,26.18,31.91,15.64,13.19,13.06
2026,Cal Poly,2026 Cal Poly,77.68,-0.73,0.629486,32.81,25.53,17.37,22.44,14.45,20.13,23.85,22.11,26.44,14.7,12.83,26.61,18.84,24.31,15.48,14.69
2026,Cal St. Bakersfield,2026 Cal St. Bakersfield,77.12,-0.52,1.9888,36.57,20.12,21.59,21.53,21.36,15.39,43.1,17.94,15.52,14.15,9.23,37.11,18.21,13.86,14.3,16.48
2026,Cal St. Fullerton,2026 Cal St. Fullerton,75.81,-1.26,1.07774,35.38,20.99,20.1,20.23,22.28,16.38,36.18,22.75,18.59,13.46,9,14.46,25.13,20.86,21.13,18.41
2026,California,2026 California,77.63,0.59,2.15586,28.9,14.16,22.53,18.28,23.55,21.45,49.93,16.64,11.82,10.52,11.05,34.89,20.12,15.47,16.48,13.02
2026,Campbell,2026 Campbell,76.32,-1.42,2.41706,17.5,21.36,16.65,16.87,18.6,26.49,38.55,33.88,9.28,8.24,10.01,31.9,25.86,14.34,13.57,14.29
2026,Canisius,2026 Canisius,77.29,0.33,1.39228,28.06,19.68,20.01,17.59,22.81,19.9,25.39,23.11,28.12,15.61,7.77,25.24,21.09,21.48,17.76,14.43
2026,Central Arkansas,2026 Central Arkansas,77.12,-0.91,0.96212,33.27,10.55,20.67,17.99,30.27,20.46,27.74,20.45,17.73,22.35,11.66,23.68,22.52,18.29,21.01,14.42
2026,Central Connecticut,2026 Central Connecticut,77.49,-0.52,0.77526,26.5,20.81,30.67,12.47,15.87,20.12,33.55,24.02,28.91,9.65,3.81,32.24,20.43,21.65,14.76,10.87
2026,Central Michigan,2026 Central Michigan,77.49,0.72,0.313156,30.72,20.3,17.48,19.33,19.01,23.83,25.61,35.7,8.08,9.23,21.33,24.94,27.24,15.47,13.82,18.47
2026,Charleston,2026 Charleston,78.26,1.53,1.66173,35.67,25.21,15.61,18.58,15.62,24.91,53.53,14.7,16.66,7,8,33.85,13.61,18.79,12.34,21.34
2026,Charleston Southern,2026 Charleston Southern,77.12,0.13,0.825201,41.67,16.03,21.74,25.48,21.45,15.26,35.19,23.53,21.62,14.25,5.36,27.4,25.11,21.75,14.18,11.51
2026,Charlotte,2026 Charlotte,78.9,2.3,1.115,42.28,18.56,13.83,24.87,22.1,20.6,39.78,20.97,14.55,12.6,12.06,32.43,18.39,15.87,15.35,17.92
2026,Chattanooga,2026 Chattanooga,75.91,-0.68,1.40876,34.32,17.37,20.72,17.15,18.11,26.63,32.34,24.19,23.51,11.29,8.65,24.95,18.38,20.48,19.31,16.85
2026,Chicago St.,2026 Chicago St.,75.65,-1.81,1.30731,38.93,18.88,23.69,20.44,20.78,16.15,36.13,37.1,12.53,11.08,3.07,26.31,18.41,19.56,18.21,17.43
2026,Cincinnati,2026 Cincinnati,78.57,2.94,2.27685,34.02,24.55,17.83,19.72,18.09,19.77,32.88,33.46,17.91,7.71,7.98,33.21,27.03,16.39,10,13.31
2026,Clemson,2026 Clemson,77.78,1.03,2.34699,37.89,20.48,21.55,20.93,19.11,17.88,29.01,28.19,20.63,12.31,9.81,28.62,21.16,19.57,18.87,11.72
2026,Cleveland St.,2026 Cleveland St.,76.13,-1.44,0.927707,35.71,14.48,22.58,15.71,24.88,22.35,30.37,40,11.22,7.06,11.35,27.08,27.7,16.7,14.66,13.85
2026,Coastal Carolina,2026 Coastal Carolina,77.43,0,1.31656,26.06,11.31,16.8,18.22,29.06,24.57,41.8,23.9,13.08,11.03,10.15,23.46,22.39,19.17,16.41,18.54
2026,Colgate,2026 Colgate,77.21,-0.17,1.14728,27.87,21.33,21.83,14.12,21.2,21.52,36.25,27.92,16.6,9.63,9.57,22.08,22.72,14.44,22.83,17.92
2026,Colorado,2026 Colorado,78.3,2.5,1.101,34.41,20.39,19.52,15.54,21.2,23.34,26.96,27.19,19.84,20.13,5.85,33.14,28.02,15.51,12.8,10.51
2026,Colorado St.,2026 Colorado St.,77.62,0.46,1.93229,33.87,21.72,23.04,17.2,15.76,22.23,25.97,31.13,15.45,16.4,10.97,29.09,22.47,18.48,17.54,12.37
2026,Columbia,2026 Columbia,77.73,0.47,1.65259,32.19,16.46,18.4,20.09,21.83,23.13,31.08,19.83,32.33,9.46,7.2,25.28,19.48,25.34,14.58,15.22
2026,Connecticut,2026 Connecticut,78.64,1.3,2.41306,30.84,25.14,18.04,17.21,23,16.59,39.61,19.81,15.56,11.9,13.09,31.28,18.17,17.08,15.65,17.8
2026,Coppin St.,2026 Coppin St.,77.57,-0.09,0.569353,49.8,20.23,23.06,24.12,15.3,17.25,33.81,22.29,19.7,17.75,6.37,24.37,26.81,20.13,17.13,11.51
2026,Cornell,2026 Cornell,75.7,-2.96,1.38899,38.38,11.65,15.94,27.36,19.49,25.52,26.44,24.68,23.01,18.83,6.96,29.31,21.24,20.34,12.91,16.13
2026,Creighton,2026 Creighton,78.24,0.2,1.85351,35.84,19.31,19.56,20.23,17.97,22.86,34.14,30.57,15.08,11.56,8.55,23.13,23.82,18.81,17.33,16.83
2026,CSUN,2026 CSUN,77.02,-1.61,1.80157,26.9,16.65,18.89,23.46,23.88,17.09,28,34.67,17.01,7.72,12.55,16.24,24.91,26.82,14.32,17.66
2026,Dartmouth,2026 Dartmouth,77.03,-1.03,1.65505,27.95,19.35,19.36,21.01,24.78,15.43,35.98,29.22,23.25,7.06,4.38,27.44,30.35,17.84,14.43,9.85
2026,Davidson,2026 Davidson,77.71,-0.13,1.44762,40.48,13.74,16.08,25.61,25.85,18.67,45.04,14.24,24.63,11.12,4.89,23.76,24.65,20.8,17.41,13.29
2026,Dayton,2026 Dayton,77.35,0.53,2.36087,29.84,19.49,18.06,15.25,22.46,24.72,28.86,22.11,24.48,17.27,7.26,24.68,20.62,22.92,21.16,10.6
2026,Delaware,2026 Delaware,78.52,0.05,0.865988,12.5,21.02,15.79,12.72,25.37,25.07,37.1,30.27,11.62,7.4,13.53,20.19,23.21,15.69,20.28,20.57
2026,Delaware St.,2026 Delaware St.,76.8,0.52,1.31585,44.89,10.14,23.76,22.46,17.87,25.73,40.89,18.67,19.64,10.79,9.92,25.43,27.59,19.6,14.89,12.42
2026,Denver,2026 Denver,77.43,-0.95,0.542351,24.7,11.23,18.73,20.32,23.55,26.11,43.04,16.18,23.87,14.35,2.48,27.31,22.82,19.07,20.6,10.13
2026,DePaul,2026 DePaul,77.84,0.54,1.58299,29.16,16.51,25.46,20.96,17.54,19.5,26.37,37.63,12.45,14.08,9.42,24.37,29.69,16.08,17.76,12.06
2026,Detroit Mercy,2026 Detroit Mercy,77.15,-0.12,1.50182,36.53,15.13,16.74,20.22,26.08,21.8,37.91,29.61,18.77,8.88,4.79,22.87,26.73,21.5,16.23,12.61
2026,Drake,2026 Drake,77.1,-0.13,1.14732,31.49,17.04,18.82,19.1,20.23,24.78,39.31,17.3,13.16,21.06,9.13,25.32,23.1,17.19,17.03,17.32
2026,Drexel,2026 Drexel,77.04,0.32,0.930459,30.9,14.03,20.57,23.93,21.82,19.63,34.21,31.71,15.09,12.6,6.38,25.61,23.38,20.9,17.49,12.6
2026,Duke,2026 Duke,79.34,0.98,0.871844,34.64,17.28,29.72,14.74,22.4,15.86,36.34,34.22,13.54,7.57,8.33,24.11,29.14,18.82,13.49,14.44
2026,Duquesne,2026 Duquesne,77.77,0.11,1.81468,34.57,18.21,20.74,19.59,18.07,23.35,32.99,33.58,16.63,10.98,5.78,25.71,25.76,18.49,15.67,14.33
2026,East Carolina,2026 East Carolina,77.12,0.78,1.49544,28.17,17.79,19.65,33.07,15.84,13.62,34.58,37.97,15.95,8.3,3.18,25.49,27.6,20.23,13.16,13.51
2026,East Tennessee St.,2026 East Tennessee St.,76.75,-0.43,1.8037,32.64,21.59,26.56,15.89,20.1,15.82,31.47,28.86,21.19,10.33,8.07,21.91,26.95,19.46,16.95,14.69
2026,East Texas A&M,2026 East Texas A&M,77.37,-0.23,1.27677,34.51,19.96,26.49,17.35,21.68,14.51,43.86,23.23,13.39,12.29,7.18,24.86,29.92,16.32,19.79,9.09
2026,Eastern Illinois,2026 Eastern Illinois,76.59,-0.78,1.0949,30.51,14.32,19.46,19.25,25.29,21.64,38.82,31.16,12.69,5.04,12.21,24.2,27.52,16.25,15.1,16.88
2026,Eastern Kentucky,2026 Eastern Kentucky,76.06,-1.06,1.14253,37.09,21.21,15.84,19.59,22.87,20.44,34.01,34.37,11.16,10.03,10.35,25.59,28.62,14.55,13.38,17.8
2026,Eastern Michigan,2026 Eastern Michigan,77.88,0.36,1.04756,39.14,15.51,20.13,25.39,22.14,16.83,36.67,26.34,22.39,8.58,6.03,28.36,25.75,21.83,12.42,11.64
2026,Eastern Washington,2026 Eastern Washington,76.7,0.22,1.19355,33.84,22.86,20.53,13.96,17,25.66,30.94,33.12,24.26,4.71,6.96,24.92,22.32,21.65,16.12,14.99
2026,Elon,2026 Elon,77.71,-0.04,1.33429,32.84,17.44,25.96,24.9,14.65,17.03,32.93,24.82,17,10.92,14.27,25.04,23.11,22.25,15.82,13.76
2026,Evansville,2026 Evansville,78.74,1.14,1.22072,27.88,21.49,26.25,19.62,14.88,17.74,42.77,36.3,5.39,9.62,5.86,29.01,24.91,18.63,14.85,12.55
2026,Fairfield,2026 Fairfield,76.32,-0.8,1.02616,31.43,22.79,17.63,13.99,19.57,25.98,43.62,29.19,16.47,5.09,5.58,33.45,27.6,14.82,10.88,13.18
