year,team,kenpom_id,size,height,experience,bench,pts_from_5,pts_from_4,pts_from_3,pts_from_2,pts_from_1,or_from_5,or_from_4,or_from_3,or_from_2,or_from_1,dr_from_5,dr_from_4,dr_from_3,dr_from_2,dr_from_1
2023,Abilene Christian,2023 Abilene Christian,75.04,-1.9,2.43,35.81,19,21.2,25.36,18.91,15.44,34.6,19.11,23.86,14.04,8.28,20.53,24.42,16.81,21.48,16.67
2023,Air Force,2023 Air Force,77.16,-1.79,1.16,34.31,20.75,18.61,22.78,21.3,16.55,34.2,24,9.48,11.91,20.38,29.42,22.75,17.35,17.15,13.3
2023,Akron,2023 Akron,75.04,-1.95,1.86,26.05,25.04,17.1,14.13,22.15,21.51,32.59,28.99,6.03,13.91,18.4,28.31,25.41,16.97,13.93,15.31
2023,Alabama,2023 Alabama,78.11,1.98,1.11,36.31,17.22,26.05,18.11,17.84,20.76,38.18,27.7,18.31,8.69,7.07,26.44,28.51,19.15,13.3,12.56
2023,Alabama A&M,2023 Alabama A&M,75.7,0.3,2.38,38.34,20.76,23.95,13.54,18.89,22.84,34.1,20.46,26.41,12.24,6.76,35.79,15.83,18.28,15.8,14.26
2023,Alabama St.,2023 Alabama St.,76.72,-1.1,1.62,31.62,19.93,21.22,20.71,20.47,17.68,31.83,32.17,10.38,15.43,10.19,24.98,24.15,17.85,20.86,12.16
2023,Albany,2023 Albany,76.65,-0.29,1.87,31.38,21.98,16.9,25.91,15.31,19.82,40.65,16.93,13.27,21.63,7.41,26.13,19.5,21.77,19.51,13
2023,Alcorn St.,2023 Alcorn St.,75.53,-1.45,1.83,38.28,19.69,24.29,23.11,13.96,18.93,25.7,41.39,12.27,13.68,6.93,24.07,24,18.65,14.28,18.99
2023,American,2023 American,76.37,0.98,1.53,31.82,29.43,19.57,15.17,18.28,17.52,39.56,20.85,21.79,12.2,5.57,29.15,28.12,20.71,11.71,10.29
2023,Appalachian St.,2023 Appalachian St.,78.1,1.68,1.9,32.37,18.41,17.78,22.86,17.88,23.03,36.38,33.3,10.18,16.9,3.21,24.31,26.99,17.15,16.88,14.64
2023,Arizona,2023 Arizona,78.45,2.46,2.02,25.84,24.9,26.13,17.38,16.41,15.18,38.08,32.25,17.85,7,4.82,31.5,25.32,16.98,15.06,11.15
2023,Arizona St.,2023 Arizona St.,77.11,0.92,2.11,31.55,17.24,16.43,24.87,18.77,22.64,38.55,22.62,21.46,9.57,7.75,26.95,22.47,17.01,15.32,18.21
2023,Arkansas,2023 Arkansas,78.72,0.28,1.44,25.88,20.72,14.76,20.4,25.02,19.07,30.63,34.44,15.76,10.87,8.27,30.47,21.15,18.24,12.9,17.21
2023,Arkansas Pine Bluff,2023 Arkansas Pine Bluff,76.87,-0.71,1.81,33.29,17.88,17.59,18.11,28.6,17.81,36.93,11.15,27.32,15.45,9.12,23.39,21.61,20.35,17.91,16.69
