team_id,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm
2026 Michigan,13.2,13.3,37.9,19.6,18.5
2026 Duke,15.3,13.6,36.9,23.4,13.5
2026 Arizona,10.5,13,27.6,13,14.7
2026 Iowa St.,14.4,14.1,31.8,19,12.8
2026 Houston,12.5,12.9,29.9,15.4,14.6
2026 Purdue,15.1,10.6,27.6,20.7,6.9
2026 Florida,11.7,13.7,26.6,14.7,11.9
2026 Michigan St.,13.1,12.2,28.1,17.1,10.9
2026 Illinois,15.6,11.3,25.7,18.5,7.3
2026 Alabama,14.4,8.9,25.6,21.3,4.3
2026 Vanderbilt,14,11.8,29.1,19,10.1
2026 Gonzaga,9.7,10.8,27.3,15.4,11.9
2026 St. John's,10.9,12.5,28.1,15.6,12.5
2026 Connecticut,11.6,13.2,26.2,13.3,12.9
2026 Kansas,13.2,13.4,28.4,17.3,11.1
2026 Louisville,11.5,10.7,22.6,14.3,8.3
2026 Arkansas,14.3,11.1,24,18.4,5.5
2026 Nebraska,10.4,13.6,23.4,9.1,14.5
2026 Ohio St.,14.6,10.2,22.1,16.9,5.1
2026 Tennessee,10.4,12.6,21.8,11,11
2026 UCLA,12.4,9.7,19.1,14.5,4.5
2026 Miami FL,11.9,11.4,20,13.8,6.2
2026 Saint Mary's,11.1,12.8,18.7,9.6,9.1
2026 Georgia,10.2,8.5,19.3,14.2,5.3
2026 Iowa,11.5,10.3,20.3,12.4,8
2026 Texas Tech,12.8,10.7,20.6,11.1,9.5
2026 Kentucky,9.3,10.5,18.6,9.1,9.5
2026 Texas A&M,8.2,8.9,19.6,12.7,7
2026 Wisconsin,13.5,9.6,21.3,17.4,4
2026 Virginia,8.2,9.7,17.3,9.8,7.6
2026 Clemson,7.3,9.6,17.3,8,9.2
2026 Villanova,10.7,11.2,18,11.2,6.9
2026 Saint Louis,9.3,8.9,18.8,13.2,5.5
2026 Missouri,12.3,9.9,20.1,16.1,4.1
2026 Texas,12.2,9.2,17.8,14.4,3.5
2026 North Carolina,10.4,11.3,18.1,10.4,7.5
2026 BYU,14.5,10.8,22.8,17.6,5.2
2026 Utah St.,10.7,10.4,20.1,13,7.2
2026 TCU,8,10.8,17.9,8.4,9.6
2026 SMU,11.6,9.3,15.5,12.6,2.9
2026 Santa Clara,8.8,8.3,14.9,9.2,5.7
2026 South Florida,9.1,9.7,16.5,11.1,5.4
2026 McNeese St.,9,9.2,18,13.2,4.9
2026 UCF,9.5,8.7,14.3,10.5,3.7
2026 VCU,7.5,8.6,13,6.8,6.3
2026 Akron,10.3,9.2,15.2,10.6,4.7
2026 Northern Iowa,7.3,10.7,14.1,5.8,8.4
2026 High Point,7,7.5,11.5,8.4,3.2
2026 Hawaii,6.5,9.4,13.4,7,6.4
2026 Hofstra,10.5,9.3,10.4,8.5,2
2026 North Dakota St.,6.1,8.4,9.9,6,3.9
2026 Cal Baptist,6.4,9.3,7.6,2.6,5
2026 Tennessee St.,7.4,7.4,9,7.4,1.6
2026 Kennesaw St.,6.5,6.2,5.5,5.9,-0.5
2026 Wright St.,5.9,7.2,7.9,3.9,4
2026 Troy,7.3,7.8,6.5,4.6,1.9
2026 Penn,6.3,9.3,6.1,2.2,4
2026 Idaho,6.2,7.1,5.6,3.9,1.8
2026 Siena,6.9,7.6,9.1,4.7,4.4
2026 UMBC,6.4,7.2,5.8,4.2,1.7
2026 Queens,6.7,4.8,2.5,6,-3.5
2026 Furman,7,7.9,3.6,3.2,0.5
2026 LIU,6.1,7.8,3,1.6,1.4
2026 Lehigh,7.5,7.6,5,5.3,-0.3
