team_id,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm
2015 Albany,7.9,9.2,8.5,7.6,0.9
2015 Arizona,10,14.3,28.2,14,14.2
2015 Arkansas,10.2,9.5,19.3,15.3,3.9
2015 Baylor,11.3,12.5,25.7,17.9,7.7
2015 Belmont,9,7.9,9.5,9.9,-0.4
2015 Boise St.,11,11.3,21.3,14.7,6.5
2015 Buffalo,9,10.4,12.7,9.9,2.9
2015 Butler,8.8,14,20.2,9,11.2
2015 BYU,12.2,9.2,18.9,18.3,0.6
2015 Cincinnati,7.7,11.1,19.9,10.1,9.7
2015 Coastal Carolina,6,7.5,7.8,6.9,0.8
2015 Davidson,13.9,8.9,22,20.6,1.3
2015 Dayton,8.1,12.2,14,7.5,6.5
2015 Duke,15.1,12.5,25.8,19.4,6.3
2015 Eastern Washington,11.1,8.1,11.6,12.4,-0.8
2015 Georgetown,10.6,10.6,20.9,14,7
2015 Georgia,6.7,8.7,16.7,10,6.7
2015 Georgia St.,8,10.7,11.1,6.9,4.3
2015 Gonzaga,12.7,11.6,26.1,19.3,6.7
2015 Hampton,3.9,6.6,-1.9,1.1,-3.2
2015 Harvard,7.6,9.3,14.1,9.3,4.8
2015 Indiana,13.5,8.5,16.2,17.6,-1.4
2015 Iowa,10.1,11.8,24.2,15.6,8.6
2015 Iowa St.,12.2,11.4,20.2,13.6,6.7
2015 Kansas,9.7,11.5,20.3,12,8.2
2015 Kentucky,9.1,13,32.1,14.8,17.3
2015 Lafayette,10,4.9,3.8,10.4,-6.5
2015 Louisville,11,15.6,22.5,12.2,10.3
2015 LSU,7,11,13.8,7.2,6.8
2015 Manhattan,7.7,9.9,10,7.9,2.2
2015 Maryland,11.4,12.3,19,12.7,6.2
2015 Michigan St.,11.4,12.6,23.7,16.5,7.2
2015 Mississippi,6.9,8.5,15.8,8.8,7
2015 NC St.,9.5,9.3,15.2,12.3,2.9
2015 New Mexico St.,7.8,10.5,15.7,8.5,7.1
2015 North Carolina,11.3,11.2,24.5,16.8,7.7
2015 North Dakota St.,7,9,5.3,5,0.4
2015 North Florida,6.2,8.5,7.9,4.9,3.1
2015 Northeastern,8,9.5,9.8,8,1.8
2015 Northern Iowa,8.4,10.1,22.3,12.5,9.8
2015 Notre Dame,14.9,11.5,22.7,18.7,4.1
2015 Ohio St.,9.3,11.9,21.1,11.6,9.4
2015 Oklahoma,9.9,14,22.5,12.9,9.5
2015 Oklahoma St.,8.4,10.4,16.6,10.7,6
2015 Oregon,9.2,9.8,13.9,8.8,5.1
2015 Providence,10.6,12.7,20.8,11.2,9.6
2015 Purdue,7.9,10,18.2,10.2,7.9
2015 Robert Morris,6.7,7.5,10.9,8.7,2.1
2015 San Diego St.,5.6,12.3,16.9,4.8,12.3
2015 SMU,8.1,9.6,20.4,12.8,7.6
2015 St. John's,10.4,12.8,17.8,10.8,7
2015 Stephen F. Austin,10.6,9,20.2,16.7,3.5
2015 Texas,6.1,9.4,15.9,7.6,8.3
2015 Texas Southern,4.8,5,2.3,6.3,-4
2015 UAB,5.4,8.2,8.7,6.1,2.6
2015 UC Irvine,6.9,9.3,11.3,7.9,3.3
2015 UCLA,10.9,11.7,16.7,12,4.6
2015 Utah,12,13,29.5,16.4,13
2015 Valparaiso,7.2,10.4,14.3,8.7,5.7
2015 VCU,9.3,9.6,17.8,14.8,3
2015 Villanova,9.9,11.9,24.4,14.4,10.2
2015 Virginia,9.9,13.3,23.8,11.7,12.2
2015 West Virginia,6.8,8.9,13.6,8.4,5.3
2015 Wichita St.,11.6,13,27.1,17,10.2
2015 Wisconsin,16.8,13.9,33.8,25,8.8
2015 Wofford,6.6,9.8,11.9,8.1,3.8
2015 Wyoming,8.3,11.9,13.4,6.9,6.5
2015 Xavier,9.1,9.1,16.2,12,4.2
2016 Arizona,9.3,11,17.4,11,6.3
2016 Austin Peay,7.4,6.8,5.3,8.6,-3.2
2016 Baylor,8.4,8.6,14.5,9.9,4.5
2016 Buffalo,6.6,8.2,11.1,7.4,3.7
2016 Butler,11.2,10,15.8,12.8,3.1
2016 Cal St. Bakersfield,6.2,9.7,10.9,6.4,4.5
2016 California,9.3,10.9,15.9,9.7,6.2
2016 Chattanooga,6.1,8.8,8.2,4.1,4.1
2016 Cincinnati,8.7,11.5,18.7,10.1,8.8
2016 Colorado,8.9,10.6,19.1,12.7,6.5
2016 Connecticut,9.1,11.4,20.8,9.1,11.7
2016 Dayton,9.3,12.5,18.2,11,7.2
2016 Duke,14.3,11.9,21.9,16.7,5.1
2016 Fairleigh Dickinson,6.4,4.8,-0.6,4.7,-5.3
2016 Florida Gulf Coast,6.5,8.6,7,5.7,1.3
2016 Fresno St.,7.7,9.8,11.6,7.4,4.4
2016 Gonzaga,12.3,11.9,20.9,15.3,5.7
2016 Green Bay,7.4,8.5,9,7.4,1.6
2016 Hampton,5.3,7.1,1.5,2.8,-1.2
2016 Hawaii,9.7,11.3,19.5,12.2,7.3
2016 Holy Cross,4.9,6.5,1.2,3.1,-1.9
2016 Indiana,11.9,9.6,18.5,14.4,4.3
2016 Iona,10.4,8.6,13.8,13.9,-0.2
2016 Iowa,10.6,11.1,21.6,14.2,7.5
2016 Iowa St.,13.7,11,18.5,14.6,3.7
2016 Kansas,12.9,12.6,24.2,15.5,8.7
2016 Kentucky,15.1,10.4,29,23.7,5.5
2016 Little Rock,6.4,8.7,15.8,8,7.9
2016 Maryland,10.5,11.3,19.9,12.7,7.1
2016 Miami FL,11.7,10.8,19.5,13.8,5.7
2016 Michigan,8.9,9.7,13.7,9.2,4.5
2016 Michigan St.,14.7,11.2,31,24.4,6.6
2016 Middle Tennessee,7.8,10.5,15.6,9.9,5.7
2016 North Carolina,11.1,11.3,27.2,16.8,10.5
2016 Northern Iowa,10.2,11.7,17,9.6,7.4
2016 Notre Dame,11.2,9.7,12.7,12.2,0.5
2016 Oklahoma,11.8,11.4,23.6,14.1,9.5
2016 Oregon,12.1,10.7,20.2,15.4,4.7
2016 Oregon St.,8.2,9,16.9,11.7,5.3
2016 Pittsburgh,10.9,10.3,16.7,12.7,4
2016 Providence,10.5,13,18.5,10.5,7.9
2016 Purdue,9.7,10.1,23.8,14.3,9.5
2016 Saint Joseph's,10.4,10.8,19.7,11.9,7.8
2016 Seton Hall,8.3,11.9,21.4,10.8,10.6
2016 South Dakota St.,8.9,8.2,14.8,14.2,0.5
2016 Southern,5.5,7.4,5.4,4.8,0.5
2016 Stephen F. Austin,8.5,9.7,21.1,12.4,8.5
2016 Stony Brook,9.1,10.7,15,9.5,5.5
2016 Syracuse,10,12.6,17.3,9.6,7.7
2016 Temple,7.2,10.5,10.9,4.9,5.9
2016 Texas,9.6,9.8,15.8,10.7,5.3
2016 Texas A&M,8.6,11.1,19.7,10.9,8.7
2016 Texas Tech,9.3,9.7,18.4,12.6,5.8
2016 Tulsa,8.9,10.3,13,10.2,2.9
2016 UNC Asheville,5.4,10.7,6.5,1.4,5
2016 UNC Wilmington,7.8,8.9,11,9.2,1.8
2016 USC,8.8,9.7,13.9,9.2,4.7
2016 Utah,11.4,10,20,14.3,5.7
2016 Vanderbilt,8.3,11.4,20.6,10.9,9.6
2016 VCU,9,10.3,18,11.3,6.7
2016 Villanova,11.2,12,26.6,16.8,9.8
2016 Virginia,11.9,11.8,26.4,16.2,10.3
2016 Weber St.,6.9,9.4,7.7,6.2,1.5
2016 West Virginia,7,10.2,16.5,7.7,8.8
2016 Wichita St.,8.9,11.2,25.3,12.8,12.4
2016 Wisconsin,9,11.4,15.4,7.9,7.5
2016 Xavier,10,10.4,19.5,12.7,6.8
