Variable,Weight,Score
3man_dbpm,0.07607998286261035,Offensive
5man_obpm,0.1345080159671785,Offensive
assist_to_usage_ratio,0.020806322418542363,Offensive
ast%,0.016481034517837712,Offensive
effective_possession_rate,0.017175812884185123,Offensive
efg%,0.017570526062394204,Offensive
four_factors_composite,0.028370376834667428,Offensive
free_throw_advantage,0.05066003608646041,Offensive
lineup_depth_quality,0.06699087970107608,Offensive
mid_range_reliance,0.037763972393284044,Offensive
net_rebounding_margin,0.011851747954397777,Offensive
net_turnover_margin,0.024803802887471128,Offensive
off_3pt_fg%,0.02490114923495336,Offensive
off_3pt_share,0.021475715572636226,Offensive
off_close2_fg%,0.04523312633583612,Offensive
off_close2_share,0.02253724372966061,Offensive
off_dunk_fg%,0.014784558966243989,Offensive
off_dunk_share,0.027824647562452075,Offensive
off_far2_fg%,0.022576468062502988,Offensive
off_far2_share,0.036297918628782865,Offensive
offensive_versatility_score,0.014945189326091225,Offensive
orb%,0.013968895995158982,Offensive
paint_touch_rate,0.012744229043870412,Offensive
perimeter_efficiency,0.02288257384389114,Offensive
rim_efficiency,0.0179246304348339,Offensive
rim_to_three_ratio,0.011131390610164977,Offensive
shot_quality_variance,0.0174095213171902,Offensive
size_speed_index,0.03497253674109375,Offensive
three_point_volume_efficiency,0.010688031475015345,Offensive
tor,0.013589966745263984,Offensive
kenpom_off,0.05697999034112165,Offensive
torvik_off,0.05406970546313114,Offensive
3man_obpm,0.08908435999126586,Defensive
5man_dbpm,0.05623760303181817,Defensive
ast%d,0.016852708860903728,Defensive
def_3pt_fg%,0.023485059018996505,Defensive
def_3pt_share,0.02016137404421297,Defensive
def_assist_suppression,0.018564023955251027,Defensive
def_close2_fg%,0.010360948409296628,Defensive
def_close2_share,0.02282747444078816,Defensive
def_dunk_fg%,0.013972568742963508,Defensive
def_dunk_share,0.016591362910441332,Defensive
def_effective_possession_rate,0.02383255856520368,Defensive
def_experience_impact,0.03916005592835716,Defensive
def_far2_fg%,0.036704974914222706,Defensive
def_far2_share,0.0338889160499615,Defensive
def_four_factors_composite,0.037334061630593274,Defensive
def_free_throw_advantage,0.03714310691623042,Defensive
def_lineup_depth_quality,0.04394846706455281,Defensive
def_mid_range_reliance,0.03299153858391969,Defensive
def_net_rebounding_margin,0.012430766529827268,Defensive
def_net_turnover_margin,0.02245575777403496,Defensive
def_paint_touch_rate,0.02298410757151627,Defensive
def_perimeter_efficiency,0.03106018549790586,Defensive
def_rim_efficiency,0.017865318280152524,Defensive
def_rim_to_three_ratio,0.012774409084751012,Defensive
def_shot_quality_variance,0.013961367714148673,Defensive
def_size_speed_index,0.02885468505641864,Defensive
def_three_point_volume_efficiency,0.016151992086024167,Defensive
defensive_versatility_score,0.01584103239507316,Defensive
drb%,0.013137138768816522,Defensive
efgd%,0.030188593681438752,Defensive
kenpom_def,0.05065720291790672,Defensive
tord,0.016475368332441544,Defensive
torvik_def,0.12202091125056484,Defensive
3man_bpm,0.11266024473592368,Overall
5man_bpm,0.12917723678593315,Overall
bench_scoring_ratio,0.07863863405759436,Overall
elite_outcome_probability,0.013650222192550604,Overall
kenpom_rtg,0.1100499269551849,Overall
rotation_balance,0.03940421187899656,Overall
torvik_rtg,0.1109730076719912,Overall
wab,0.152641826164835,Overall
offensive_score,0.10676737546668352,Overall
defensive_score,0.1460373140903069,Overall
