team_id,year,team,region,seed
2026 Duke,2026,Duke,Region 1,1
2026 Connecticut,2026,Connecticut,Region 1,2
2026 Michigan St.,2026,Michigan St.,Region 1,3
2026 Kansas,2026,Kansas,Region 1,4
2026 St. John's,2026,St. John's,Region 1,5
2026 Louisville,2026,Louisville,Region 1,6
2026 UCLA,2026,UCLA,Region 1,7
2026 Ohio St.,2026,Ohio St.,Region 1,8
2026 TCU,2026,TCU,Region 1,9
2026 UCF,2026,UCF,Region 1,10
2026 South Florida,2026,South Florida,Region 1,11
2026 Northern Iowa,2026,Northern Iowa,Region 1,12
2026 Cal Baptist,2026,Cal Baptist,Region 1,13
2026 North Dakota St.,2026,North Dakota St.,Region 1,14
2026 Furman,2026,Furman,Region 1,15
2026 Siena,2026,Siena,Region 1,16
2026 Arizona,2026,Arizona,Region 2,1
2026 Purdue,2026,Purdue,Region 2,2
2026 Gonzaga,2026,Gonzaga,Region 2,3
2026 Arkansas,2026,Arkansas,Region 2,4
2026 Wisconsin,2026,Wisconsin,Region 2,5
2026 BYU,2026,BYU,Region 2,6
2026 Miami FL,2026,Miami FL,Region 2,7
2026 Villanova,2026,Villanova,Region 2,8
2026 Utah St.,2026,Utah St.,Region 2,9
2026 Missouri,2026,Missouri,Region 2,10
2026 Texas,2026,Texas,Region 2,11
2026 High Point,2026,High Point,Region 2,12
2026 Hawaii,2026,Hawaii,Region 2,13
2026 Kennesaw St.,2026,Kennesaw St.,Region 2,14
2026 Queens,2026,Queens,Region 2,15
2026 LIU,2026,LIU,Region 2,16
2026 Michigan,2026,Michigan,Region 3,1
2026 Iowa St.,2026,Iowa St.,Region 3,2
2026 Virginia,2026,Virginia,Region 3,3
2026 Alabama,2026,Alabama,Region 3,4
2026 Texas Tech,2026,Texas Tech,Region 3,5
2026 Tennessee,2026,Tennessee,Region 3,6
2026 Kentucky,2026,Kentucky,Region 3,7
2026 Georgia,2026,Georgia,Region 3,8
2026 Saint Louis,2026,Saint Louis,Region 3,9
2026 Santa Clara,2026,Santa Clara,Region 3,10
2026 Miami OH,2026,Miami OH,Region 3,11
2026 Akron,2026,Akron,Region 3,12
2026 Hofstra,2026,Hofstra,Region 3,13
2026 Wright St.,2026,Wright St.,Region 3,14
2026 Tennessee St.,2026,Tennessee St.,Region 3,15
2026 UMBC,2026,UMBC,Region 3,16
2026 Florida,2026,Florida,Region 4,1
2026 Houston,2026,Houston,Region 4,2
2026 Illinois,2026,Illinois,Region 4,3
2026 Nebraska,2026,Nebraska,Region 4,4
2026 Vanderbilt,2026,Vanderbilt,Region 4,5
2026 North Carolina,2026,North Carolina,Region 4,6
2026 Saint Mary's,2026,Saint Mary's,Region 4,7
2026 Clemson,2026,Clemson,Region 4,8
2026 Iowa,2026,Iowa,Region 4,9
2026 Texas A&M,2026,Texas A&M,Region 4,10
2026 VCU,2026,VCU,Region 4,11
2026 McNeese St.,2026,McNeese St.,Region 4,12
2026 Troy,2026,Troy,Region 4,13
2026 Penn,2026,Penn,Region 4,14
2026 Idaho,2026,Idaho,Region 4,15
2026 Lehigh,2026,Lehigh,Region 4,16
