team_id,year,team,region,seed,finish,weekend,coach,coach_id,conference,conf,conf_id,kenpom_id,torvik_id
2015 Villanova,2015,Villanova,Region 2,1,Second Round,1,Jay Wright,2015 Jay Wright,Big East,BE,2015 BE,2015 Villanova,2015 Villanova
2015 Virginia,2015,Virginia,Region 2,2,Second Round,1,Tony Bennett,2015 Tony Bennett,ACC,ACC,2015 ACC,2015 Virginia,2015 Virginia
2015 Oklahoma,2015,Oklahoma,Region 2,3,Sweet 16,2,Lon Kruger,2015 Lon Kruger,Big 12,B12,2015 B12,2015 Oklahoma,2015 Oklahoma
2015 Louisville,2015,Louisville,Region 2,4,Sweet 16,2,Rick Pitino,2015 Rick Pitino,ACC,ACC,2015 ACC,2015 Louisville,2015 Louisville
2015 Northern Iowa,2015,Northern Iowa,Region 2,5,Second Round,1,Ben Jacobson,2015 Ben Jacobson,Missouri Valley,MVC,2015 MVC,2015 Northern Iowa,2015 Northern Iowa
2015 Providence,2015,Providence,Region 2,6,First Round,1,Ed Cooley,2015 Ed Cooley,Big East,BE,2015 BE,2015 Providence,2015 Providence
2015 Michigan St.,2015,Michigan St.,Region 2,7,Final Four,3,Tom Izzo,2015 Tom Izzo,Big 10,B10,2015 B10,2015 Michigan St.,2015 Michigan St.
2015 NC St.,2015,North Carolina St.,Region 2,8,Sweet 16,2,Mark Gottfried,2015 Mark Gottfried,ACC,ACC,2015 ACC,2015 North Carolina St.,2015 N.C. State
2015 LSU,2015,LSU,Region 2,9,First Round,1,Johnny Jones,2015 Johnny Jones,SEC,SEC,2015 SEC,2015 LSU,2015 LSU
2015 Georgia,2015,Georgia,Region 2,10,First Round,1,Mark Fox,2015 Mark Fox,SEC,SEC,2015 SEC,2015 Georgia,2015 Georgia
2015 Dayton,2015,Dayton,Region 2,11,Second Round,1,Archie Miller,2015 Archie Miller,Atlantic 10,A10,2015 A10,2015 Dayton,2015 Dayton
2015 Wyoming,2015,Wyoming,Region 2,12,First Round,1,Larry Shyatt,2015 Larry Shyatt,Mountain West,MWC,2015 MWC,2015 Wyoming,2015 Wyoming
2015 UC Irvine,2015,UC Irvine,Region 2,13,First Round,1,Russell Turner,2015 Russell Turner,Big West,BW,2015 BW,2015 UC Irvine,2015 UC Irvine
2015 Albany,2015,Albany,Region 2,14,First Round,1,Will Brown,2015 Will Brown,Amerian East,AE,2015 AE,2015 Albany,2015 Albany
2015 Belmont,2015,Belmont,Region 2,15,First Round,1,Rick Byrd,2015 Rick Byrd,Ohio Valley,OVC,2015 OVC,2015 Belmont,2015 Belmont
2015 Lafayette,2015,Lafayette,Region 2,16,First Round,1,Fran O'Hanlon,2015 Fran O'Hanlon,Patriot,Pat,2015 Pat,2015 Lafayette,2015 Lafayette
2015 Kentucky,2015,Kentucky,Region 1,1,Final Four,3,John Calipari,2015 John Calipari,SEC,SEC,2015 SEC,2015 Kentucky,2015 Kentucky
2015 Kansas,2015,Kansas,Region 1,2,Second Round,1,Bill Self,2015 Bill Self,Big 12,B12,2015 B12,2015 Kansas,2015 Kansas
2015 Notre Dame,2015,Notre Dame,Region 1,3,Elite Eight,2,Mike Brey,2015 Mike Brey,ACC,ACC,2015 ACC,2015 Notre Dame,2015 Notre Dame
2015 Maryland,2015,Maryland,Region 1,4,Second Round,1,Mark Turgeon,2015 Mark Turgeon,Big 10,B10,2015 B10,2015 Maryland,2015 Maryland
2015 West Virginia,2015,West Virginia,Region 1,5,Sweet 16,2,Bob Huggins,2015 Bob Huggins,Big 12,B12,2015 B12,2015 West Virginia,2015 West Virginia
2015 Butler,2015,Butler,Region 1,6,Second Round,1,Chris Holtmann,2015 Chris Holtmann,Big East,BE,2015 BE,2015 Butler,2015 Butler
2015 Wichita St.,2015,Wichita St.,Region 1,7,Sweet 16,2,Gregg Marshall,2015 Gregg Marshall,Missouri Valley,MVC,2015 MVC,2015 Wichita St.,2015 Wichita St.
2015 Cincinnati,2015,Cincinnati,Region 1,8,Second Round,1,Mick Cronin,2015 Mick Cronin,American,Amer,2015 Amer,2015 Cincinnati,2015 Cincinnati
2015 Purdue,2015,Purdue,Region 1,9,First Round,1,Matt Painter,2015 Matt Painter,Big 10,B10,2015 B10,2015 Purdue,2015 Purdue
2015 Indiana,2015,Indiana,Region 1,10,First Round,1,Tom Crean,2015 Tom Crean,Big 10,B10,2015 B10,2015 Indiana,2015 Indiana
2015 Texas,2015,Texas,Region 1,11,First Round,1,Rick Barnes,2015 Rick Barnes,Big 12,B12,2015 B12,2015 Texas,2015 Texas
2015 Buffalo,2015,Buffalo,Region 1,12,First Round,1,Bobby Hurley,2015 Bobby Hurley,MAC,MAC,2015 MAC,2015 Buffalo,2015 Buffalo
2015 Valparaiso,2015,Valparaiso,Region 1,13,First Round,1,Bryce Drew,2015 Bryce Drew,Horizon,Horz,2015 Horz,2015 Valparaiso,2015 Valparaiso
2015 Northeastern,2015,Northeastern,Region 1,14,First Round,1,Bill Coen,2015 Bill Coen,CAA,CAA,2015 CAA,2015 Northeastern,2015 Northeastern
2015 New Mexico St.,2015,New Mexico St.,Region 1,15,First Round,1,Marvin Menzies,2015 Marvin Menzies,WAC,WAC,2015 WAC,2015 New Mexico St.,2015 New Mexico St.
2015 Hampton,2015,Hampton,Region 1,16,First Round,1,Edward Joyner Jr.,2015 Edward Joyner Jr.,MEAC,MEAC,2015 MEAC,2015 Hampton,2015 Hampton
2015 Duke,2015,Duke,Region 3,1,Champion,3,Mike Krzyzewski,2015 Mike Krzyzewski,ACC,ACC,2015 ACC,2015 Duke,2015 Duke
2015 Gonzaga,2015,Gonzaga,Region 3,2,Elite Eight,2,Mark Few,2015 Mark Few,WCC,WCC,2015 WCC,2015 Gonzaga,2015 Gonzaga
2015 Iowa St.,2015,Iowa St.,Region 3,3,First Round,1,Fred Hoiberg,2015 Fred Hoiberg,Big 12,B12,2015 B12,2015 Iowa St.,2015 Iowa St.
2015 Georgetown,2015,Georgetown,Region 3,4,Second Round,1,John Thompson,2015 John Thompson,Big East,BE,2015 BE,2015 Georgetown,2015 Georgetown
2015 Utah,2015,Utah,Region 3,5,Sweet 16,2,Larry Krystowiak,2015 Larry Krystowiak,Pac 12,P12,2015 P12,2015 Utah,2015 Utah
2015 SMU,2015,SMU,Region 3,6,First Round,1,Larry Brown,2015 Larry Brown,American,Amer,2015 Amer,2015 SMU,2015 SMU
2015 Iowa,2015,Iowa,Region 3,7,Second Round,1,Fran McCaffery,2015 Fran McCaffery,Big 10,B10,2015 B10,2015 Iowa,2015 Iowa
2015 San Diego St.,2015,San Diego St.,Region 3,8,Second Round,1,Steve Fischer,2015 Steve Fischer,Mountain West,MWC,2015 MWC,2015 San Diego St.,2015 San Diego St.
2015 St. John's,2015,St. John's,Region 3,9,First Round,1,Steve Lavin,2015 Steve Lavin,Big East,BE,2015 BE,2015 St. John's,2015 St. John's
2015 Davidson,2015,Davidson,Region 3,10,First Round,1,Bob McKillop,2015 Bob McKillop,Atlantic 10,A10,2015 A10,2015 Davidson,2015 Davidson
2015 UCLA,2015,UCLA,Region 3,11,Sweet 16,2,Steve Alford,2015 Steve Alford,Pac 12,P12,2015 P12,2015 UCLA,2015 UCLA
2015 Stephen F. Austin,2015,Stephen F. Austin,Region 3,12,First Round,1,Brad Underwood,2015 Brad Underwood,Southland,Slnd,2015 Slnd,2015 Stephen F. Austin,2015 Stephen F. Austin
2015 Eastern Washington,2015,Eastern Washington,Region 3,13,First Round,1,Jim Hayford,2015 Jim Hayford,Big Sky,BSky,2015 BSky,2015 Eastern Washington,2015 Eastern Washington
2015 UAB,2015,UAB,Region 3,14,Second Round,1,Jerod Haase,2015 Jerod Haase,Conference USA,CUSA,2015 CUSA,2015 UAB,2015 UAB
2015 North Dakota St.,2015,North Dakota St.,Region 3,15,First Round,1,Dave Richman,2015 Dave Richman,Summit,Sum,2015 Sum,2015 North Dakota St.,2015 North Dakota St.
2015 Robert Morris,2015,Robert Morris,Region 3,16,First Round,1,Andrew Toole,2015 Andrew Toole,NEC,NEC,2015 NEC,2015 Robert Morris,2015 Robert Morris
2015 Wisconsin,2015,Wisconsin,Region 4,1,Runner Up,3,Bo Ryan,2015 Bo Ryan,Big 10,B10,2015 B10,2015 Wisconsin,2015 Wisconsin
2015 Arizona,2015,Arizona,Region 4,2,Elite Eight,2,Sean Miller,2015 Sean Miller,Pac 12,P12,2015 P12,2015 Arizona,2015 Arizona
2015 Baylor,2015,Baylor,Region 4,3,First Round,1,Scott Drew,2015 Scott Drew,Big 12,B12,2015 B12,2015 Baylor,2015 Baylor
2015 North Carolina,2015,North Carolina,Region 4,4,Sweet 16,2,Roy Williams,2015 Roy Williams,ACC,ACC,2015 ACC,2015 North Carolina,2015 North Carolina
2015 Arkansas,2015,Arkansas,Region 4,5,Second Round,1,Mike Anderson,2015 Mike Anderson,SEC,SEC,2015 SEC,2015 Arkansas,2015 Arkansas
2015 Xavier,2015,Xavier,Region 4,6,Sweet 16,2,Chris Mack,2015 Chris Mack,Big East,BE,2015 BE,2015 Xavier,2015 Xavier
2015 VCU,2015,VCU,Region 4,7,First Round,1,Shaka Smart,2015 Shaka Smart,Atlantic 10,A10,2015 A10,2015 VCU,2015 VCU
2015 Oregon,2015,Oregon,Region 4,8,Second Round,1,Dana Altman,2015 Dana Altman,Pac 12,P12,2015 P12,2015 Oregon,2015 Oregon
2015 Oklahoma St.,2015,Oklahoma St.,Region 4,9,First Round,1,Travis Ford,2015 Travis Ford,Big 12,B12,2015 B12,2015 Oklahoma St.,2015 Oklahoma St.
2015 Ohio St.,2015,Ohio St.,Region 4,10,Second Round,1,Thad Matta,2015 Thad Matta,Big 10,B10,2015 B10,2015 Ohio St.,2015 Ohio St.
2015 Mississippi,2015,Mississippi,Region 4,11,First Round,1,Andy Kennedy,2015 Andy Kennedy,SEC,SEC,2015 SEC,2015 Mississippi,2015 Mississippi
2015 Wofford,2015,Wofford,Region 4,12,First Round,1,Mike Young,2015 Mike Young,Southern,SC,2015 SC,2015 Wofford,2015 Wofford
2015 Harvard,2015,Harvard,Region 4,13,First Round,1,Tommy Amaker,2015 Tommy Amaker,Ivy,Ivy,2015 Ivy,2015 Harvard,2015 Harvard
2015 Georgia St.,2015,Georgia St.,Region 4,14,Second Round,1,Ron Hunter,2015 Ron Hunter,Sun Belt,SB,2015 SB,2015 Georgia St.,2015 Georgia St.
