year,team,wab,torvik_off,torvik_def,torvik_rtg,efg%,efgd%,ftr,ftrd,tor,tord,orb%,drb%,raw_tempo,2p%,2p%d,3p%,3p%d,blk%,blked%,ast%,ast%d,3pr,3prd,adj_tempo,ft%,ft%d
2026,Michigan,13.9969549,127.346683,90.3067623,0.98115641,58.3,43.1,41.4,26.4,16.6,16.8,36.3,26.3,71.3,61,44.3,36,30.2,15.9,9.4,60.7,46.7,41.8,41.8,72.2,74.7,75.1
2026,Duke,13.6723974,127.00992,90.8332242,0.97927072,58.2,44.7,40,24.5,16.2,19,39.5,23.7,67.1,60.1,46.6,35.1,30.4,10.4,9.3,59.2,51.4,44.4,45.7,66.8,72.4,71.7
2026,Arizona,13.6672492,126.307219,91.1143158,0.97715529,55.7,44,43.9,28.5,14.7,17.4,38,25.4,71.4,55.4,43.8,36,31.4,10.8,8.3,55.4,48.9,26.8,37.2,71,73.4,71.5
2026,Purdue,9.19222983,132.165959,99.3612527,0.96376793,58.3,50.3,31,26.6,13.6,16.8,36.4,25.8,65.3,58.1,53.1,37.9,34.2,8.9,6.6,66.8,57.5,40.9,45,65.4,74.3,72
2026,Houston,8.99805033,124.649343,91.9242724,0.9707504,52.9,45.9,29.3,39.7,13.4,21.7,35.7,28.7,64.9,51.9,45.5,34.9,32.1,12.5,6.4,52.9,53.5,40.8,40.9,64.3,77.2,69.8
2026,Connecticut,8.84338098,122.447318,93.7994958,0.95542555,56.4,45.7,32.8,40.7,17.1,18.7,36.1,27.3,66,57.1,45.8,35.2,30.3,15.2,9.7,65,48.5,40.3,36.2,65.5,71.6,71.9
2026,Florida,8.53416651,124.975616,92.0352767,0.97120643,54.3,44.6,39.7,32.5,16.9,16.7,42.2,23.2,72.5,57.9,45.2,30.8,32.4,12.4,7.2,54,44.5,37.1,33.7,71.4,71,72.7
2026,Virginia,7.76490461,122.265056,95.8578438,0.94258049,54.5,44.5,33.7,32.9,15.8,16.3,38,28.2,66.5,55.2,44.7,35.9,30.9,17.5,9.6,59.1,50.3,46.5,37.5,66.5,72.6,75.8
2026,Arkansas,7.54248953,127.214709,101.252982,0.93244842,57.3,49.7,35.5,29.6,12.8,16.9,32.2,28.5,72.4,55.6,53.7,38.9,31.7,12.9,6.7,53,49.8,33.4,38.2,71.9,74.7,72
2026,Nebraska,7.45845952,117.583261,93.4551237,0.9334635,55.3,46.7,28.8,25.8,14.7,20.4,26.7,26.8,67.3,58.1,50.6,35.3,29.9,8.7,9.3,65.6,60.5,50.7,49.3,67.8,75,72.6
2026,Michigan St.,7.44665614,121.550951,94.7670319,0.94596059,53.7,46.8,40,31.6,17.7,16.2,38.6,22.1,66.8,53.4,48,35.9,32.9,13.3,8.1,67,56.4,36.4,46,66.9,76.3,75.1
2026,Iowa St.,7.39406963,123.772604,92.7515075,0.96504132,57.1,49,36.4,29,15.1,22.7,35.3,27.1,68.2,55.5,50.5,38.7,32.1,8.6,9.6,58.4,54.5,38.8,42.8,67.9,67.2,71.5
2026,Gonzaga,7.36729184,120.6287,93.495183,0.94932335,56.4,45.8,32.9,31.9,14,20,34,25.6,70.4,58.7,46.2,34,30.8,11.4,6,56.7,52.9,31,43.7,69.9,69.9,71.3
2026,Vanderbilt,7.30192164,126.982367,98.3430863,0.94975242,56,47.6,37.7,39.4,13.8,19.1,31.3,28.4,70.8,56.8,49.1,35.5,32.2,12.6,7.1,56.2,46.6,43.6,37.9,69.9,79.3,75.2
2026,St. John's,7.26357191,119.858378,94.4938499,0.9390277,52,46.9,43.8,32.9,14.5,20.1,35.3,29,71,51.6,47.5,33.2,31.3,12.4,9.5,58.2,47.2,33.8,33.7,70.6,72.7,71.7
2026,Illinois,6.56334751,131.167321,97.8332929,0.96681476,55.6,46.2,34.4,21.4,13.5,12.3,39.1,26.2,66.2,58.2,48,34.7,31.4,12.6,8.5,51.2,51.4,50.7,42.2,66.7,78.9,73.4
2026,Alabama,6.55146928,129.608862,102.207507,0.93885623,56.4,48,37.1,30.6,13.5,13.8,31.9,28.8,74.6,57.3,48.6,35.8,33.5,11.3,12.1,53.5,46.7,53.7,35.1,74,76.5,69.7
2026,Kansas,6.26783496,117.9366,93.7103888,0.9336581,52.8,43.9,34.6,28.1,15.1,14.6,30.2,27.7,68.2,51.1,44.7,35,30.7,15.6,8.3,53.3,48,35.7,42,68.6,76.7,69.4
2026,Wisconsin,5.37993563,125.581845,101.314598,0.92196593,54.8,49.8,35.3,31.3,13.1,15.2,30,26.9,68.9,54.8,52.3,36.1,33.3,8.5,12.5,57.3,50.6,52.6,40.2,69.7,78.6,72.9
2026,Texas Tech,5.05647218,125.504148,98.5751532,0.94144642,57.1,48,28.6,32.1,15.8,15.7,34.1,27.4,68,53.6,50.6,39.3,31.5,9.5,7.3,55.5,41.5,48,35,67.4,71.5,69.4
2026,North Carolina,4.92566653,120.880565,99.2054938,0.90657463,55.4,47,39.6,23.8,13.8,14.2,32.2,27,68.8,56.7,46.1,34.5,34.5,8.6,9,57,48.1,42.3,36.9,68.9,68.4,70.1
2026,BYU,4.54743388,124.364155,102.972752,0.89757999,55.6,50.1,35.9,30.1,15.1,16.9,35.6,28.1,70.4,56.2,50,34.9,35.3,11.9,7.9,45.4,54.3,39.8,39.2,70.7,74.6,71.3
