year,team,torvik_id,off_dunk_fg%,off_dunk_share,def_dunk_fg%,def_dunk_share,off_close2_fg%,off_close2_share,def_close2_fg%,def_close2_share,off_far2_fg%,off_far2_share,def_far2_fg%,def_far2_share,off_3pt_fg%,off_3pt_share,def_3pt_fg%,def_3pt_share
2026,Purdue,2026 Purdue,94.8,7.8,90.4,7.6,72.2,28.2,63.7,28.2,45.3,30.9,41.9,26.8,37.9,40.9,34.2,45
2026,Nebraska,2026 Nebraska,91.4,3.8,88.5,6.4,69.7,32.7,65.4,24.6,35,16.5,36.8,26.1,35.3,50.7,29.9,49.3
2026,St. Thomas,2026 St. Thomas,90.5,4.6,90.9,4.2,68.3,44.3,60.2,40.7,40.8,9.1,38.6,18.1,36.4,46.5,31.4,41.2
2026,Miami OH,2026 Miami OH,96.2,5.6,93,3.8,68.2,39.9,58.2,38.2,44.1,15.4,41.6,25,37.5,44.6,33,36.8
2026,Michigan,2026 Michigan,91.1,15.1,87.9,4.6,68.1,43.2,54.4,28.4,40.4,15,34.7,29.8,36,41.8,30.2,41.8
2026,Illinois,2026 Illinois,85.9,8,87.7,6.2,68,32.7,60,28.3,38.9,16.6,36.5,29.5,34.7,50.7,31.4,42.2
2026,Houston,2026 Houston,95.5,8.8,92.1,7.2,67.7,24.9,56.9,32.8,40.4,34.3,31.3,26.3,34.9,40.8,32.1,40.9
2026,Ohio St.,2026 Ohio St.,90.6,7.7,91.1,8,67.5,31.2,61.4,31.8,48,28.7,41.9,27.8,36,40.1,31.6,40.3
2026,Marshall,2026 Marshall,93.9,12.4,91.7,4.2,67.2,31.7,60.4,36.6,38,24.1,34.7,23.9,36.8,44.3,33.6,39.6
2026,Arkansas,2026 Arkansas,92,15.4,87.1,9.8,67.1,42.8,61.9,39.9,34.8,23.8,38.8,21.9,38.9,33.4,31.7,38.2
2026,Gonzaga,2026 Gonzaga,88.6,8.5,78.6,5.2,66.9,40.4,57.2,29,47,28.6,34.5,27.3,34,31,30.8,43.7
2026,Charleston,2026 Charleston,89.7,10.6,92.1,5.7,66.9,37,59.8,32.7,33.3,24.8,35.3,23.6,30.6,38.1,32.6,43.7
2026,BYU,2026 BYU,84.2,10.4,81.2,8,66.9,33.2,62.1,30,43,27,38.3,30.8,34.9,39.8,35.3,39.2
2026,Belmont,2026 Belmont,89.9,11.2,87.8,5.2,66.9,40.6,58.8,30.2,42.3,13.7,33.6,20.7,41,45.7,34.2,49.1
2026,Iowa,2026 Iowa,90.4,10,87,7.8,66.5,39.3,65.9,37.8,42.6,19.1,34.7,23.1,35.7,41.6,33.7,39.1
2026,Missouri,2026 Missouri,95.7,12,88.2,8,66.3,44.4,56.6,33.2,35.9,19.6,38.1,23.7,35,36,36.5,43.1
2026,Colorado St.,2026 Colorado St.,89.4,5.8,88.4,7.1,66.2,32.7,61.9,34.3,40.1,17.9,43.5,22.6,39,49.4,34.4,43.1
2026,Bellarmine,2026 Bellarmine,88.9,3.8,93,6.6,66.2,47.4,67.5,33.2,39.5,11.4,38.9,16.3,38.1,41.2,40.4,50.5
2026,Indiana,2026 Indiana,92.1,14.2,85.1,4.1,66.1,35.8,56.5,34.1,45.1,13.7,39.3,29.1,34.7,50.5,33.1,36.8
2026,Michigan St.,2026 Michigan St.,90.3,12.9,92.3,5.3,66.1,33.1,59.1,27.7,39.7,30.5,36.2,26.3,35.9,36.4,32.9,46
