year,team,torvik_id,off_dunk_fg%,off_dunk_share,def_dunk_fg%,def_dunk_share,off_close2_fg%,off_close2_share,def_close2_fg%,def_close2_share,off_far2_fg%,off_far2_share,def_far2_fg%,def_far2_share,off_3pt_fg%,off_3pt_share,def_3pt_fg%,def_3pt_share
2025,Creighton,2025 Creighton,90.5,18.1,81.6,5.7,68.9,35.6,54.7,33,41,15.5,37.4,31.7,34.5,48.9,32.6,35.3
2025,Illinois,2025 Illinois,96.3,7,85.1,5.5,67.8,32.9,56.2,35.2,40,19.9,35.8,34.2,31.3,47.2,33.6,30.5
2025,Purdue,2025 Purdue,80,6,92.6,8.1,67.7,28.2,70.2,31.9,44.5,33.4,37.2,25.5,38.2,38.4,31.2,42.6
2025,Iowa St.,2025 Iowa St.,88,5.8,90.7,6.3,67.1,37.1,61.2,30.5,39.1,26.2,33.6,28.6,35.8,36.8,33.6,40.9
2025,Colorado St.,2025 Colorado St.,88,4.4,88.9,4.3,66.8,33.2,61.2,31.2,42,24,34,30.8,36.3,42.8,33.2,38
2025,BYU,2025 BYU,90,8.8,84.2,8.4,66.7,32.8,61.2,24.1,45,19.6,40.1,29.7,36.8,47.6,35.7,46.2
2025,UCLA,2025 UCLA,91.9,8.9,80.4,5.8,66.3,28.6,63.2,31.4,41.7,34.9,34.3,23.6,35.2,36.5,32.8,45
2025,Kentucky,2025 Kentucky,92.7,12.6,91.8,6.7,66.2,36.6,64,30.2,38.3,22.2,42.1,26.1,37.5,41.2,30.5,43.7
2025,Gonzaga,2025 Gonzaga,89,5.6,90.8,5.2,66.2,37.9,59.7,31.6,46,28.5,36.8,28.2,35.4,33.6,30.2,40.2
2025,Ohio St.,2025 Ohio St.,89.1,8.6,85.5,6.6,66,31.3,60.6,33.6,39,31.1,38.3,28.8,36.8,37.7,30.5,37.6
2025,Cornell,2025 Cornell,100,2.4,81.1,5.2,65.9,39.2,59.2,40.3,45.9,12.1,38.7,20.6,37.4,48.6,34.7,39.1
2025,Iowa,2025 Iowa,88.2,7,92,7,65.9,36.5,63.8,40.4,41.5,22.5,41.4,20.8,38,41,34.4,38.8
2025,Nevada,2025 Nevada,93.9,7.3,84.1,7.2,65.7,31.7,59.5,34,44.5,30.8,33.6,21.3,34.1,37.5,35.7,44.7
2025,Florida,2025 Florida,88.2,12.9,82.4,7.6,65.6,38.4,55,36.3,37,18,34,26.3,35.2,43.6,29.9,37.4
2025,Michigan St.,2025 Michigan St.,88.4,11.8,80.6,5.6,65.6,38.3,56.7,33,36.2,28.8,39.5,26.3,31.1,32.9,28,40.7
