round,team_region,team_seed,opp_region,opp_seed
Round 1,Region 1,1,Region 1,16
Round 1,Region 1,2,Region 1,15
Round 1,Region 1,3,Region 1,14
Round 1,Region 1,4,Region 1,13
Round 1,Region 1,5,Region 1,12
Round 1,Region 1,6,Region 1,11
Round 1,Region 1,7,Region 1,10
Round 1,Region 1,8,Region 1,9
Round 1,Region 2,1,Region 2,16
Round 1,Region 2,2,Region 2,15
Round 1,Region 2,3,Region 2,14
Round 1,Region 2,4,Region 2,13
Round 1,Region 2,5,Region 2,12
Round 1,Region 2,6,Region 2,11
Round 1,Region 2,7,Region 2,10
Round 1,Region 2,8,Region 2,9
Round 1,Region 3,1,Region 3,16
Round 1,Region 3,2,Region 3,15
Round 1,Region 3,3,Region 3,14
Round 1,Region 3,4,Region 3,13
Round 1,Region 3,5,Region 3,12
Round 1,Region 3,6,Region 3,11
Round 1,Region 3,7,Region 3,10
Round 1,Region 3,8,Region 3,9
Round 1,Region 4,1,Region 4,16
Round 1,Region 4,2,Region 4,15
Round 1,Region 4,3,Region 4,14
Round 1,Region 4,4,Region 4,13
Round 1,Region 4,5,Region 4,12
Round 1,Region 4,6,Region 4,11
Round 1,Region 4,7,Region 4,10
Round 1,Region 4,8,Region 4,9
Round 1,Region 1,16,Region 1,1
Round 1,Region 1,15,Region 1,2
Round 1,Region 1,14,Region 1,3
Round 1,Region 1,13,Region 1,4
Round 1,Region 1,12,Region 1,5
Round 1,Region 1,11,Region 1,6
Round 1,Region 1,10,Region 1,7
Round 1,Region 1,9,Region 1,8
Round 1,Region 2,16,Region 2,1
Round 1,Region 2,15,Region 2,2
Round 1,Region 2,14,Region 2,3
Round 1,Region 2,13,Region 2,4
Round 1,Region 2,12,Region 2,5
Round 1,Region 2,11,Region 2,6
Round 1,Region 2,10,Region 2,7
Round 1,Region 2,9,Region 2,8
Round 1,Region 3,16,Region 3,1
Round 1,Region 3,15,Region 3,2
Round 1,Region 3,14,Region 3,3
Round 1,Region 3,13,Region 3,4
Round 1,Region 3,12,Region 3,5
Round 1,Region 3,11,Region 3,6
Round 1,Region 3,10,Region 3,7
Round 1,Region 3,9,Region 3,8
Round 1,Region 4,16,Region 4,1
Round 1,Region 4,15,Region 4,2
Round 1,Region 4,14,Region 4,3
Round 1,Region 4,13,Region 4,4
Round 1,Region 4,12,Region 4,5
Round 1,Region 4,11,Region 4,6
Round 1,Region 4,10,Region 4,7
Round 1,Region 4,9,Region 4,8
Round 2,Region 1,1,Region 1,8
Round 2,Region 1,1,Region 1,9
Round 2,Region 1,16,Region 1,8
Round 2,Region 1,16,Region 1,9
Round 2,Region 1,2,Region 1,7
Round 2,Region 1,2,Region 1,10
Round 2,Region 1,15,Region 1,7
Round 2,Region 1,15,Region 1,10
Round 2,Region 1,3,Region 1,6
Round 2,Region 1,3,Region 1,11
Round 2,Region 1,14,Region 1,6
Round 2,Region 1,14,Region 1,11
Round 2,Region 1,4,Region 1,5
Round 2,Region 1,4,Region 1,12
Round 2,Region 1,13,Region 1,5
Round 2,Region 1,13,Region 1,12
Round 2,Region 2,1,Region 2,8
Round 2,Region 2,1,Region 2,9
Round 2,Region 2,16,Region 2,8
Round 2,Region 2,16,Region 2,9
Round 2,Region 2,2,Region 2,7
Round 2,Region 2,2,Region 2,10
Round 2,Region 2,15,Region 2,7
