team,region,seed,tier,bracket_value,overall,offense,defense,round_2_prob,sweet_16_prob,elite_8_prob,final_4_prob,championship_prob,champion_prob
Connecticut,Region 1,1,S,0.0,10.0,9.41,10.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,Region 4,1,S,0.0,9.75,8.98,9.47,0.0,0.0,0.0,0.0,0.0,0.0
Texas,Region 3,1,S,0.0,9.55,7.88,9.73,0.0,0.0,0.0,0.0,0.0,0.0
LSU,Region 4,2,A,0.0,9.49,9.23,8.69,0.0,0.0,0.0,0.0,0.0,0.0
UCLA,Region 2,1,S,0.0,9.47,10.0,7.59,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,Region 1,2,A,0.0,9.3,8.42,8.01,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma,Region 2,4,B,0.0,8.9,6.47,9.17,0.0,0.0,0.0,0.0,0.0,0.0
TCU,Region 1,3,A,0.0,8.69,7.51,8.88,0.0,0.0,0.0,0.0,0.0,0.0
Vanderbilt,Region 2,2,B,0.0,8.69,9.06,5.64,0.0,0.0,0.0,0.0,0.0,0.0
Maryland,Region 1,5,B,0.0,8.66,8.18,7.19,0.0,0.0,0.0,0.0,0.0,0.0
Louisville,Region 3,2,A,0.0,8.56,7.29,6.58,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,Region 1,4,B,0.0,8.53,6.91,7.53,0.0,0.0,0.0,0.0,0.0,0.0
Duke,Region 4,4,B,0.0,8.52,6.37,8.23,0.0,0.0,0.0,0.0,0.0,0.0
Ohio St.,Region 2,3,B,0.0,8.47,6.36,6.65,0.0,0.0,0.0,0.0,0.0,0.0
Baylor,Region 2,5,C,0.0,8.46,6.01,9.04,0.0,0.0,0.0,0.0,0.0,0.0
Michigan St.,Region 4,3,C,0.0,8.37,7.81,5.75,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,Region 3,3,C,0.0,8.3,7.86,5.09,0.0,0.0,0.0,0.0,0.0,0.0
Texas Tech,Region 2,6,C,0.0,8.24,6.36,8.66,0.0,0.0,0.0,0.0,0.0,0.0
USC,Region 1,9,C,0.0,8.16,5.14,8.97,0.0,0.0,0.0,0.0,0.0,0.0
West Virginia,Region 3,5,C,0.0,8.1,6.51,6.45,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina,Region 3,6,B,0.0,8.02,6.11,7.56,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,Region 4,6,B,0.0,8.02,6.73,6.91,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,Region 4,5,B,0.0,8.0,6.99,6.78,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi,Region 3,4,B,0.0,7.99,6.39,6.98,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota,Region 4,7,C,0.0,7.97,6.49,7.22,0.0,0.0,0.0,0.0,0.0,0.0
Oregon,Region 4,9,C,0.0,7.9,6.17,6.86,0.0,0.0,0.0,0.0,0.0,0.0
Washington,Region 2,7,C,0.0,7.68,6.85,6.03,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,Region 1,7,C,0.0,7.65,5.36,7.6,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska,Region 3,8,C,0.0,7.65,7.78,4.83,0.0,0.0,0.0,0.0,0.0,0.0
Iowa St.,Region 2,9,C,0.0,7.62,7.92,4.79,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma St.,Region 4,8,C,0.0,7.57,8.3,4.12,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse,Region 1,8,C,0.0,7.53,5.16,6.87,0.0,0.0,0.0,0.0,0.0,0.0
N.C. State,Region 1,6,C,0.0,7.45,5.77,4.97,0.0,0.0,0.0,0.0,0.0,0.0
Notre Dame,Region 2,8,C,0.0,7.44,6.16,5.17,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,Region 3,7,C,0.0,7.27,6.22,4.66,0.0,0.0,0.0,0.0,0.0,0.0
Mississippi St.,Region 3,10,C,0.0,7.25,6.42,5.03,0.0,0.0,0.0,0.0,0.0,0.0
Villanova,Region 4,10,C,0.0,7.19,5.65,5.53,0.0,0.0,0.0,0.0,0.0,0.0
Stanford,Region 2,10,C,0.0,6.99,4.71,5.97,0.0,0.0,0.0,0.0,0.0,0.0
Utah,Region 4,11,C,0.0,6.97,6.22,5.09,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota St.,Region 1,10,C,0.0,6.68,6.6,3.63,0.0,0.0,0.0,0.0,0.0,0.0
Princeton,Region 3,9,C,0.0,6.67,6.37,3.39,0.0,0.0,0.0,0.0,0.0,0.0
Clemson,Region 1,12,C,0.0,6.55,6.47,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Gonzaga,Region 1,11,C,0.0,6.17,6.32,4.12,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas St.,Region 2,13,C,0.0,6.13,4.51,6.75,0.0,0.0,0.0,0.0,0.0,0.0
Miami OH,Region 3,12,C,0.0,6.08,5.02,6.46,0.0,0.0,0.0,0.0,0.0,0.0
Rice,Region 3,11,C,0.0,5.98,3.81,5.79,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,Region 2,11,C,0.0,5.96,3.99,4.55,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Tech,Region 4,14,C,0.0,5.94,6.18,5.0,0.0,0.0,0.0,0.0,0.0,0.0
McNeese St.,Region 1,14,C,0.0,5.85,1.92,7.84,0.0,0.0,0.0,0.0,0.0,0.0
San Diego St.,Region 2,12,C,0.0,5.71,4.28,4.72,0.0,0.0,0.0,0.0,0.0,0.0
Green Bay,Region 4,12,C,0.0,5.68,3.52,5.77,0.0,0.0,0.0,0.0,0.0,0.0
Quinnipiac,Region 4,13,C,0.0,5.46,4.87,5.09,0.0,0.0,0.0,0.0,0.0,0.0
Murray St.,Region 3,13,C,0.0,5.26,5.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,Region 3,14,D,0.0,5.11,4.56,4.07,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Kentucky,Region 3,15,D,0.0,5.02,3.99,5.07,0.0,0.0,0.0,0.0,0.0,0.0
Charleston,Region 2,14,D,0.0,4.84,4.09,4.27,0.0,0.0,0.0,0.0,0.0,0.0
Western Illinois,Region 4,15,D,0.0,4.4,3.73,3.54,0.0,0.0,0.0,0.0,0.0,0.0
UC San Diego,Region 1,15,D,0.0,4.34,2.34,6.09,0.0,0.0,0.0,0.0,0.0,0.0
High Point,Region 1,13,D,0.0,4.31,4.29,4.34,0.0,0.0,0.0,0.0,0.0,0.0
Cal Baptist,Region 2,16,D,0.0,4.23,3.86,4.39,0.0,0.0,0.0,0.0,0.0,0.0
Navy,Region 2,15,D,0.0,4.19,3.99,4.24,0.0,0.0,0.0,0.0,0.0,0.0
Fairleigh Dickinson,Region 3,16,D,0.0,4.02,4.54,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Chattanooga,Region 1,16,D,0.0,2.97,3.13,5.17,0.0,0.0,0.0,0.0,0.0,0.0
Alcorn St.,Region 4,16,D,0.0,1.0,1.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0
