year,team,seed,tier,bracket_value,overall,offense,defense,finish
2021,South Dakota St.,9,C,0.0,4.14,4.92,4.79,First Round
2021,Marquette,10,D,0.0,4.63,4.71,4.6,First Round
2021,Florida Gulf Coast,11,D,0.0,5.11,5.92,5.7,First Round
2021,Central Michigan,12,D,0.0,2.77,7.8,1.0,First Round
2021,Idaho St.,13,F,0.0,3.42,3.42,7.15,First Round
2021,Middle Tennessee,14,F,0.0,2.75,4.63,1.64,First Round
2021,Jackson St.,15,F,0.0,2.8,3.28,6.35,First Round
2021,High Point,16,F,0.0,1.73,3.74,2.02,First Round
2021,Florida St.,9,C,0.0,3.96,2.91,6.48,First Round
2021,North Carolina,10,D,0.0,4.06,4.09,4.39,First Round
2021,Bradley,11,F,0.0,2.83,3.98,2.48,First Round
2021,Stephen F. Austin,12,D,0.0,7.47,8.55,9.65,First Round
2021,Lehigh,13,F,0.0,1.97,2.37,1.05,First Round
2021,Wyoming,14,F,0.0,2.1,1.75,2.64,First Round
2021,Mount St. Mary's,15,F,0.0,1.64,3.5,1.62,First Round
2021,Mercer,16,F,0.0,1.83,1.35,4.04,First Round
2021,Gonzaga,5,B,0.0,6.72,8.23,5.97,First Round
2021,Rutgers,6,B,0.0,7.88,8.58,8.93,First Round
2021,Washington St.,9,C,0.0,4.9,4.44,6.4,First Round
2021,Michigan St.,10,D,0.0,5.38,5.7,4.28,First Round
2021,VCU,13,F,0.0,2.13,1.86,2.53,First Round
2021,Stony Brook,14,F,0.0,2.29,1.81,5.81,First Round
2021,Troy,15,F,0.0,2.64,2.4,2.5,First Round
2021,North Carolina A&T,16,F,0.0,1.81,1.46,7.23,First Round
2021,Arkansas,4,B,0.0,6.94,8.2,1.91,First Round
2021,Wake Forest,9,C,0.0,3.39,4.01,2.26,First Round
2021,UCF,10,D,0.0,5.43,2.48,9.92,First Round
2021,South Dakota,11,D,0.0,4.41,5.24,5.41,First Round
2021,UC Davis,12,D,0.0,3.66,3.34,7.61,First Round
2021,Drexel,14,F,0.0,1.94,1.56,5.08,First Round
2021,Marist,15,F,0.0,2.59,1.91,6.75,First Round
2021,Utah Valley,16,F,0.0,1.3,2.02,1.54,First Round
2022,Kentucky,6,C,0.0,5.67,5.08,5.0,First Round
2022,Washington St.,8,D,0.0,4.01,2.53,6.27,First Round
2022,Florida,10,D,0.0,4.98,2.77,7.42,First Round
2022,Massachusetts,12,D,0.0,3.44,5.03,2.18,First Round
2022,IUPUI,13,F,0.0,3.5,6.56,2.75,First Round
2022,Charlotte,14,F,0.0,2.99,1.51,8.44,First Round
2022,Mercer,15,F,0.0,2.48,1.32,7.82,First Round
2022,Mount St. Mary's,16,F,0.0,1.13,1.78,1.38,First Round
2022,Longwood,16,F,0.0,1.7,2.45,3.71,First Round
2022,Colorado,7,D,0.0,6.59,4.3,8.5,First Round
