game_id,side,id,year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,high_bracket_score,low_bracket_score,point_diff,point_total,win
20211101,b,1101,2021,East,First Round,16,2021 Utah Valley,1,2021 Stanford,44,87,-43,131,0
20221101,b,1101,2022,South,First Round,16,2022 Howard,1,2022 South Carolina,21,79,-58,100,0
20231101,b,1101,2023,South,First Round,16,2023 Norfolk St.,1,2023 South Carolina,40,72,-32,112,0
20241101,b,1101,2024,South,First Round,16,2024 Presbyterian,1,2024 South Carolina,39,91,-52,130,0
20251101b,b,1101,2025,South,First Round,16,2025 Southern,1,2025 UCLA,46,84,-38,130,0
20211201,b,1201,2021,West,First Round,16,2021 Mercer,1,2021 South Carolina,53,79,-26,132,0
20221201,b,1201,2022,Midwest,First Round,16,2022 Albany,1,2022 Louisville,51,83,-32,134,0
20231201,b,1201,2023,Midwest,First Round,16,2023 Tennessee Tech,1,2023 Indiana,47,77,-30,124,0
20241201,b,1201,2024,Midwest,First Round,16,2024 Drexel,1,2024 Texas,42,82,-40,124,0
20251201b,b,1201,2025,Midwest,First Round,16,2025 Tennessee Tech,1,2025 South Carolina,48,108,-60,156,0
20211301,b,1301,2021,South,First Round,16,2021 North Carolina A&T,1,2021 North Carolina St.,58,79,-21,137,0
20221301,b,1301,2022,West,First Round,16,2022 Montana St.,1,2022 Stanford,37,78,-41,115,0
20231301,b,1301,2023,West,First Round,16,2023 Chattanooga,1,2023 Virginia Tech,33,58,-25,91,0
20241301,b,1301,2024,East,First Round,16,2024 Holy Cross,1,2024 Iowa,65,91,-26,156,0
20251301b,b,1301,2025,East,First Round,16,2025 William & Mary,1,2025 Texas,61,105,-44,166,0
20211401,b,1401,2021,Midwest,First Round,16,2021 High Point,1,2021 Connecticut,59,102,-43,161,0
20221401,b,1401,2022,East,First Round,16,2022 Longwood,1,2022 North Carolina St.,68,96,-28,164,0
20231401,b,1401,2023,East,First Round,16,2023 Sacred Heart,1,2023 Stanford,49,92,-43,141,0
20241401,b,1401,2024,West,First Round,16,2024 Texas A&M Corpus Chris,1,2024 USC,55,87,-32,142,0
20251401b,b,1401,2025,West,First Round,16,2025 UNC Greensboro,1,2025 USC,25,72,-47,97,0
20212109,b,2109,2021,East,Second Round,8,2021 Oklahoma St.,1,2021 Stanford,62,73,-11,135,0
20222109,b,2109,2022,South,Second Round,8,2022 Miami FL,1,2022 South Carolina,33,49,-16,82,0
20232109,b,2109,2023,South,Second Round,8,2023 South Florida,1,2023 South Carolina,45,76,-31,121,0
20242109,b,2109,2024,South,Second Round,8,2024 North Carolina,1,2024 South Carolina,41,88,-47,129,0
20252109b,b,2109,2025,South,Second Round,8,2025 Richmond,1,2025 UCLA,67,84,-17,151,0
20212209,b,2209,2021,West,Second Round,8,2021 Oregon St.,1,2021 South Carolina,42,59,-17,101,0
20222209,b,2209,2022,Midwest,Second Round,9,2022 Gonzaga,1,2022 Louisville,59,68,-9,127,0
20232209,b,2209,2023,Midwest,Second Round,9,2023 Miami FL,1,2023 Indiana,70,68,2,138,1
20242209,b,2209,2024,Midwest,Second Round,8,2024 Alabama,1,2024 Texas,45,65,-20,110,0
20252209b,b,2209,2025,Midwest,Second Round,9,2025 Indiana,1,2025 South Carolina,53,64,-11,117,0
20212309,b,2309,2021,South,Second Round,8,2021 South Florida,1,2021 North Carolina St.,67,79,-12,146,0
20222309,b,2309,2022,West,Second Round,8,2022 Kansas,1,2022 Stanford,65,91,-26,156,0
20232309,b,2309,2023,West,Second Round,9,2023 South Dakota St.,1,2023 Virginia Tech,60,72,-12,132,0
20242309,b,2309,2024,East,Second Round,8,2024 West Virginia,1,2024 Iowa,54,64,-10,118,0
20252309b,b,2309,2025,East,Second Round,8,2025 Illinois,1,2025 Texas,48,65,-17,113,0
20212409,b,2409,2021,Midwest,Second Round,8,2021 Syracuse,1,2021 Connecticut,47,83,-36,130,0
20222409,b,2409,2022,East,Second Round,9,2022 Kansas St.,1,2022 North Carolina St.,57,89,-32,146,0
20232409,b,2409,2023,East,Second Round,8,2023 Mississippi,1,2023 Stanford,54,49,5,103,1
20242409,b,2409,2024,West,Second Round,8,2024 Kansas,1,2024 USC,55,73,-18,128,0
20252409b,b,2409,2025,West,Second Round,9,2025 Mississippi St.,1,2025 USC,59,96,-37,155,0
20213113,b,3113,2021,East,Sweet 16,5,2021 Missouri St.,1,2021 Stanford,62,89,-27,151,0
20223113,b,3113,2022,South,Sweet 16,5,2022 North Carolina,1,2022 South Carolina,61,69,-8,130,0
20233113,b,3113,2023,South,Sweet 16,4,2023 UCLA,1,2023 South Carolina,43,59,-16,102,0
20243113,b,3113,2024,South,Sweet 16,4,2024 Indiana,1,2024 South Carolina,75,79,-4,154,0
20253113b,b,3113,2025,South,Sweet 16,5,2025 Mississippi,1,2025 UCLA,62,76,-14,138,0
20213213,b,3213,2021,West,Sweet 16,5,2021 Georgia Tech,1,2021 South Carolina,65,76,-11,141,0
20223213,b,3213,2022,Midwest,Sweet 16,4,2022 Tennessee,1,2022 Louisville,64,76,-12,140,0
20243213,b,3213,2024,Midwest,Sweet 16,4,2024 Gonzaga,1,2024 Texas,47,69,-22,116,0
20253213b,b,3213,2025,Midwest,Sweet 16,4,2025 Maryland,1,2025 South Carolina,67,71,-4,138,0
20213313,b,3313,2021,South,Sweet 16,4,2021 Indiana,1,2021 North Carolina St.,73,70,3,143,1
20223313,b,3313,2022,West,Sweet 16,4,2022 Maryland,1,2022 Stanford,66,72,-6,138,0
20233313,b,3313,2023,West,Sweet 16,4,2023 Tennessee,1,2023 Virginia Tech,64,73,-9,137,0
20243313,b,3313,2024,East,Sweet 16,5,2024 Colorado,1,2024 Iowa,68,89,-21,157,0
