year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2021,r1_r1_g01,Round 1,Region 1,1,Stanford,Region 1,16,Utah Valley,0.9993716082290628,0.9991389160592019
2021,r1_r1_g02,Round 1,Region 1,2,Louisville,Region 1,15,Marist,0.9803518405085881,0.972799601280538
2021,r1_r1_g03,Round 1,Region 1,3,Georgia,Region 1,14,Drexel,0.9721621086917391,0.966517108481139
2021,r1_r1_g04,Round 1,Region 1,4,Arkansas,Region 1,13,Wright St.,0.8805485011892626,0.8284577050694506
2021,r1_r1_g05,Round 1,Region 1,5,Missouri St.,Region 1,12,UC Davis,0.8413610410035305,0.8286919252078533
2021,r1_r1_g06,Round 1,Region 1,6,Oregon,Region 1,11,South Dakota,0.8519777542192082,0.7964748457642487
2021,r1_r1_g07,Round 1,Region 1,7,Northwestern,Region 1,10,UCF,0.6865314192294266,0.6916002957288808
2021,r1_r1_g08,Round 1,Region 1,8,Oklahoma St.,Region 1,9,Wake Forest,0.7560574920777854,0.7114243424820003
2021,r1_r2_g01,Round 1,Region 2,1,Connecticut,Region 2,16,High Point,0.9988073244364795,0.9983036089378113
2021,r1_r2_g02,Round 1,Region 2,2,Baylor,Region 2,15,Jackson St.,0.993293590799761,0.9922873947211152
2021,r1_r2_g03,Round 1,Region 2,3,Tennessee,Region 2,14,Middle Tennessee,0.9605516835782337,0.9368456644593567
2021,r1_r2_g04,Round 1,Region 2,4,Kentucky,Region 2,13,Idaho St.,0.8539482472458618,0.8058948820462148
2021,r1_r2_g05,Round 1,Region 2,5,Iowa,Region 2,12,Central Michigan,0.9550684910982682,0.8800259758599337
2021,r1_r2_g06,Round 1,Region 2,6,Michigan,Region 2,11,Florida Gulf Coast,0.9073028741804323,0.8661504817045551
2021,r1_r2_g07,Round 1,Region 2,7,Virginia Tech,Region 2,10,Marquette,0.6391445106557824,0.577211724462572
2021,r1_r2_g08,Round 1,Region 2,8,Syracuse,Region 2,9,South Dakota St.,0.6171069879263386,0.5583549895607813
2021,r1_r3_g01,Round 1,Region 3,1,North Carolina St.,Region 3,16,North Carolina A&T,0.994056948170179,0.9924141251899289
2021,r1_r3_g02,Round 1,Region 3,2,Texas A&M,Region 3,15,Troy,0.9549299268123768,0.9378655770243587
2021,r1_r3_g03,Round 1,Region 3,3,Arizona,Region 3,14,Stony Brook,0.970595161707816,0.9702081000834052
