team,year,conf,adj_oe,adj_de,barthag,wab,adj_tempo,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,seed,region
Connecticut,2026,BE,128.83326196183052,65.37412109343751,0.999591052316641,10.16883318754663,72.23081219257665,60.099999999999994,39.4,17.7,33.7,35.199999999999996,28.199999999999996,19.5,20.3,60.5,39.0,39.7,26.6,35.4,42.4,1,Region 1
UCLA,2026,B10,133.72891001685622,74.37947645996036,0.9988261577176611,11.289658081138706,67.52483007170136,58.199999999999996,40.8,18.7,21.099999999999998,44.6,25.2,25.6,17.9,58.4,40.0,38.5,28.3,32.1,34.6,1,Region 2
Texas,2026,SEC,124.40650773205336,71.56310565883737,0.9982722578473308,8.554658677130863,71.5510151102544,53.6,41.199999999999996,15.6,32.2,41.8,28.1,31.0,33.6,54.8,40.8,32.3,28.2,18.2,30.0,1,Region 3
South Carolina,2026,SEC,124.46499917622982,72.04025657414826,0.9981453331932848,8.878661006712484,71.25829884546415,55.800000000000004,38.1,17.8,25.7,40.699999999999996,29.9,32.7,17.2,55.6,37.1,37.7,26.7,25.2,34.0,1,Region 4
LSU,2026,SEC,127.54373223132724,76.60591171913718,0.99716402113356,5.5821773787132365,76.38424587873477,55.7,40.1,18.9,28.4,49.4,27.1,34.4,26.700000000000003,55.4,38.0,37.8,28.6,20.4,42.1,2,Region 4
Michigan,2026,B10,120.1443538173045,74.96886433017147,0.9956083216248364,7.446649150451393,73.91967955949208,53.2,44.7,19.0,30.2,42.6,27.1,34.9,31.2,54.3,43.5,33.9,31.2,30.3,35.9,2,Region 1
Duke,2026,ACC,113.417464851645,73.82865416219337,0.9928769968866342,4.935965820086657,71.30845740197378,49.6,41.099999999999994,20.200000000000003,24.099999999999998,35.6,28.9,30.0,23.200000000000003,49.2,41.2,33.6,27.3,29.4,25.2,4,Region 4
Minnesota,2026,B10,117.03698428447012,76.97425838308172,0.9919875796232186,3.5304046473532544,66.24562303491251,50.8,43.1,15.1,25.4,36.1,24.7,21.4,23.799999999999997,49.7,41.5,35.6,30.3,29.8,41.6,7,Region 4
Louisville,2026,ACC,118.07956085273456,78.81530954200835,0.9905185456540612,6.773400601770387,71.0220714720603,51.5,43.1,17.7,24.099999999999998,37.6,25.4,24.2,23.400000000000002,51.6,44.9,34.2,26.5,33.2,35.2,2,Region 3
Maryland,2026,B10,118.78143369175662,79.41807844668062,0.9903340168223438,4.411838590281723,71.99154610258795,51.4,43.1,21.3,26.5,43.1,29.2,32.300000000000004,24.5,51.9,40.5,33.5,31.8,31.8,35.9,5,Region 1
