team_id,year,team,region,seed,finish,weekend,torvik_id
2021 South Dakota St.,2021,South Dakota St.,East,9,First Round,1,2021 South Dakota St.
2021 Marquette,2021,Marquette,East,10,First Round,1,2021 Marquette
2021 Florida Gulf Coast,2021,Florida Gulf Coast,East,11,First Round,1,2021 Florida Gulf Coast
2021 Central Michigan,2021,Central Michigan,East,12,First Round,1,2021 Central Michigan
2021 Idaho St.,2021,Idaho St.,East,13,First Round,1,2021 Idaho St.
2021 Middle Tennessee,2021,Middle Tennessee,East,14,First Round,1,2021 Middle Tennessee
2021 Jackson St.,2021,Jackson St.,East,15,First Round,1,2021 Jackson St.
2021 High Point,2021,High Point,East,16,First Round,1,2021 High Point
2021 Florida St.,2021,Florida St.,South,9,First Round,1,2021 Florida St.
2021 North Carolina,2021,North Carolina,South,10,First Round,1,2021 North Carolina
2021 Bradley,2021,Bradley,South,11,First Round,1,2021 Bradley
2021 Stephen F. Austin,2021,Stephen F. Austin,South,12,First Round,1,2021 Stephen F. Austin
2021 Lehigh,2021,Lehigh,South,13,First Round,1,2021 Lehigh
2021 Wyoming,2021,Wyoming,South,14,First Round,1,2021 Wyoming
2021 Mount St. Mary's,2021,Mount St. Mary's,South,15,First Round,1,2021 Mount St. Mary's
2021 Mercer,2021,Mercer,South,16,First Round,1,2021 Mercer
2021 Gonzaga,2021,Gonzaga,Midwest,5,First Round,1,2021 Gonzaga
2021 Rutgers,2021,Rutgers,Midwest,6,First Round,1,2021 Rutgers
2021 Washington St.,2021,Washington St.,Midwest,9,First Round,1,2021 Washington St.
2021 Michigan St.,2021,Michigan St.,Midwest,10,First Round,1,2021 Michigan St.
2021 VCU,2021,VCU,Midwest,13,First Round,1,2021 VCU
2021 Stony Brook,2021,Stony Brook,Midwest,14,First Round,1,2021 Stony Brook
2021 Troy,2021,Troy,Midwest,15,First Round,1,2021 Troy
2021 North Carolina A&T,2021,North Carolina A&T,Midwest,16,First Round,1,2021 North Carolina A&T
2021 Arkansas,2021,Arkansas,West,4,First Round,1,2021 Arkansas
2021 Wake Forest,2021,Wake Forest,West,9,First Round,1,2021 Wake Forest
2021 UCF,2021,UCF,West,10,First Round,1,2021 UCF
2021 South Dakota,2021,South Dakota,West,11,First Round,1,2021 South Dakota
2021 UC Davis,2021,UC Davis,West,12,First Round,1,2021 UC Davis
2021 Drexel,2021,Drexel,West,14,First Round,1,2021 Drexel
2021 Marist,2021,Marist,West,15,First Round,1,2021 Marist
2021 Utah Valley,2021,Utah Valley,West,16,First Round,1,2021 Utah Valley
2022 Kentucky,2022,Kentucky,East,6,First Round,1,2022 Kentucky
2022 Washington St.,2022,Washington St.,East,8,First Round,1,2022 Washington St.
2022 Florida,2022,Florida,East,10,First Round,1,2022 Florida
2022 Massachusetts,2022,Massachusetts,East,12,First Round,1,2022 Massachusetts
2022 IUPUI,2022,IUPUI,East,13,First Round,1,2022 IU Indy
2022 Charlotte,2022,Charlotte,East,14,First Round,1,2022 Charlotte
2022 Mercer,2022,Mercer,East,15,First Round,1,2022 Mercer
2022 Mount St. Mary's,2022,Mount St. Mary's,East,16,First Round,1,2022 Mount St. Mary's
2022 Longwood,2022,Longwood,East,16,First Round,1,2022 Longwood
2022 Colorado,2022,Colorado,South,7,First Round,1,2022 Colorado
2022 South Florida,2022,South Florida,South,9,First Round,1,2022 South Florida
2022 Dayton,2022,Dayton,South,11,First Round,1,2022 Dayton
