year,team,region,seed,tier,overall,offense,defense,pct_round_2,pct_sweet_16,pct_elite_eight,pct_final_four,pct_championship,pct_champion,bracket_value
2021,Connecticut,Region 2,1,B,9.71,9.57,9.57,0.8749,0.7196,0.4994,0.3398,0.2361,0.1417,15.34
2021,Baylor,Region 2,2,B,9.86,8.57,10.0,0.8277,0.6984,0.5213,0.2827,0.2095,0.1237,13.88
2021,Tennessee,Region 2,3,B,8.14,6.86,7.43,0.9168,0.5165,0.2035,0.1009,0.0382,0.0126,4.59
2021,Kentucky,Region 2,4,F,6.71,6.57,5.0,0.9056,0.3954,0.1484,0.0422,0.0134,0.0039,2.97
2021,Iowa,Region 2,5,C,7.43,10.0,1.29,0.9382,0.5796,0.2386,0.0752,0.0246,0.0078,4.3
2021,Michigan,Region 2,6,B,7.71,8.14,5.29,0.8203,0.4378,0.1721,0.0875,0.0393,0.014,4.16
2021,Virginia Tech,Region 2,7,D,6.29,7.57,4.29,0.4411,0.0866,0.0256,0.0124,0.004,0.0012,0.92
2021,Syracuse,Region 2,8,F,5.43,6.29,5.14,0.7484,0.2157,0.0821,0.0238,0.0075,0.0023,1.89
2021,South Dakota St.,Region 2,9,F,4.29,5.71,4.14,0.2516,0.0521,0.02,0.006,0.0022,0.0007,0.54
2021,Marquette,Region 2,10,F,4.86,5.29,4.0,0.5589,0.1649,0.0501,0.0171,0.0055,0.0015,1.36
2021,Florida Gulf Coast,Region 2,11,D,5.29,7.0,5.43,0.1797,0.0371,0.0111,0.0037,0.0012,0.0004,0.36
2021,Central Michigan,Region 2,12,D,3.0,8.0,1.0,0.0618,0.011,0.0033,0.0009,0.0003,0.0001,0.11
2021,Idaho St.,Region 2,13,F,3.57,3.43,7.57,0.0944,0.014,0.0041,0.0012,0.0004,0.0001,0.16
2021,Middle Tennessee,Region 2,14,D,2.86,5.43,1.86,0.0832,0.0087,0.0027,0.0009,0.0003,0.0001,0.13
2021,Jackson St.,Region 2,15,D,2.71,3.0,6.0,0.1723,0.0501,0.0136,0.0042,0.0013,0.0004,0.39
2021,High Point,Region 2,16,D,1.29,4.14,2.29,0.1251,0.0126,0.0043,0.0012,0.0004,0.0001,0.19
2021,North Carolina St.,Region 3,1,A,9.14,7.86,6.86,0.8979,0.6998,0.4558,0.2886,0.1209,0.0502,9.97
2021,Texas A&M,Region 3,2,C,8.86,7.14,6.29,0.7884,0.637,0.2048,0.0778,0.028,0.0095,4.25
2021,Arizona,Region 3,3,A,8.57,3.14,9.29,0.8718,0.6248,0.4462,0.2628,0.1208,0.0498,9.54
2021,Indiana,Region 3,4,C,7.86,4.86,7.86,0.8613,0.5085,0.2512,0.1461,0.067,0.0273,6.0
2021,Gonzaga,Region 3,5,B,7.14,8.43,5.86,0.8033,0.4263,0.1654,0.0571,0.0208,0.0066,3.32
2021,Rutgers,Region 3,6,F,8.43,9.43,8.86,0.7547,0.3161,0.2047,0.0757,0.0286,0.0094,3.57
2021,Iowa St.,Region 3,7,D,6.57,9.29,2.0,0.7943,0.2785,0.093,0.0306,0.0107,0.0033,2.24
2021,South Florida,Region 3,8,D,6.0,5.57,8.43,0.6276,0.1903,0.073,0.0256,0.0086,0.0026,1.73
2021,Washington St.,Region 3,9,F,5.14,5.0,6.14,0.3724,0.0971,0.0309,0.0112,0.0033,0.001,0.86
2021,Michigan St.,Region 3,10,F,5.57,6.43,3.43,0.2057,0.0541,0.0199,0.0065,0.0018,0.0005,0.49
2021,BYU,Region 3,11,D,5.0,5.86,7.71,0.2453,0.0438,0.0166,0.0051,0.0015,0.0005,0.48
2021,Belmont,Region 3,12,F,3.43,6.14,4.71,0.1967,0.0417,0.0117,0.004,0.0011,0.0003,0.39
2021,VCU,Region 3,13,D,2.14,1.71,2.57,0.1387,0.0236,0.0075,0.0027,0.0007,0.0002,0.26
2021,Stony Brook,Region 3,14,D,2.29,1.43,5.57,0.1282,0.0153,0.005,0.0017,0.0005,0.0002,0.21
2021,Troy,Region 3,15,D,2.57,2.43,2.71,0.2116,0.0305,0.0099,0.0032,0.0009,0.0003,0.36
2021,North Carolina A&T,Region 3,16,D,1.43,1.14,7.14,0.1021,0.0129,0.0045,0.0015,0.0005,0.0002,0.17
2021,South Carolina,Region 4,1,B,9.43,7.29,9.0,0.8586,0.7826,0.5938,0.3555,0.1976,0.1096,14.31
2021,Maryland,Region 4,2,B,9.57,9.86,3.86,0.9324,0.8331,0.5027,0.2863,0.1417,0.0744,11.55
2021,UCLA,Region 4,3,B,9.0,7.43,8.71,0.9318,0.5163,0.239,0.122,0.0633,0.0322,5.94
2021,West Virginia,Region 4,4,F,8.0,6.71,4.43,0.9237,0.6548,0.2103,0.0803,0.0264,0.0079,4.39
2021,Georgia Tech,Region 4,5,F,4.71,5.14,3.57,0.8251,0.3124,0.0875,0.0316,0.0098,0.003,2.31
2021,Texas,Region 4,6,F,6.43,4.0,6.57,0.8625,0.4539,0.195,0.0683,0.0219,0.0066,3.66
2021,Alabama,Region 4,7,D,4.43,8.29,1.43,0.8724,0.1419,0.0449,0.0137,0.0041,0.0012,1.55
2021,Oregon St.,Region 4,8,D,7.0,8.86,3.14,0.8282,0.1668,0.0814,0.0278,0.0093,0.0031,1.96
2021,Florida St.,Region 4,9,F,4.0,2.86,6.43,0.1718,0.0338,0.0119,0.0042,0.0013,0.0004,0.35
2021,North Carolina,Region 4,10,F,4.14,4.57,3.71,0.1276,0.0187,0.0061,0.0017,0.0005,0.0001,0.22
2021,Bradley,Region 4,11,D,3.14,4.29,2.86,0.1375,0.0188,0.0062,0.0018,0.0005,0.0002,0.23
2021,Stephen F. Austin,Region 4,12,D,7.57,8.71,9.43,0.1749,0.0237,0.0067,0.002,0.0006,0.0002,0.28
2021,Lehigh,Region 4,13,D,1.86,2.71,1.14,0.0763,0.0091,0.0025,0.0008,0.0002,0.0001,0.12
2021,Wyoming,Region 4,14,D,2.0,1.57,3.0,0.0682,0.011,0.0041,0.0012,0.0004,0.0001,0.13
2021,Mount St. Mary's,Region 4,15,D,1.14,3.86,1.71,0.0676,0.0063,0.0019,0.0005,0.0002,0.0,0.1
2021,Mercer,Region 4,16,D,1.57,1.0,3.29,0.1414,0.0168,0.0059,0.0021,0.0006,0.0002,0.23
2021,Stanford,Region 1,1,B,10.0,9.71,9.86,0.928,0.807,0.5632,0.4166,0.306,0.2099,19.74
2021,Louisville,Region 1,2,B,9.29,9.0,8.29,0.9248,0.6534,0.4209,0.1916,0.0735,0.0295,7.57
2021,Georgia,Region 1,3,C,8.71,4.71,9.14,0.9121,0.6757,0.2779,0.1249,0.0467,0.0153,5.61
2021,Arkansas,Region 1,4,C,7.29,9.14,2.14,0.8892,0.7041,0.2691,0.0838,0.0287,0.0097,4.82
2021,Missouri St.,Region 1,5,C,5.86,3.57,5.71,0.8908,0.2625,0.0731,0.0227,0.007,0.0021,2.07
2021,Oregon,Region 1,6,F,8.29,7.71,7.29,0.8025,0.2765,0.1526,0.0658,0.0248,0.0098,3.2
2021,Northwestern,Region 1,7,F,6.14,2.14,8.57,0.7662,0.2978,0.1184,0.0554,0.0218,0.0077,2.87
2021,Oklahoma St.,Region 1,8,F,6.86,3.29,8.14,0.6358,0.1081,0.0552,0.0173,0.006,0.0019,1.37
2021,Wake Forest,Region 1,9,F,3.71,4.43,2.43,0.3642,0.0774,0.0261,0.0082,0.0026,0.0008,0.76
