torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2021 Utah Tech,2021,340,Utah Tech,WAC,2,0–2,69.7,99.7,0.0159,35.1,46.7,25.4,17,22.6,30.4,28.8,33.3,32.4,42.2,27,39.4,33.3,26.8,71.2,-1.9
2021 San Jose St.,2021,217,San Jose St.,MWC,4,2–2,86.8,92.5,0.3238,38.5,42.5,17,22,33.2,32.1,25.2,26.3,38,42.3,26.3,28.6,33.7,29.7,71.9,-1.5
2021 Duke,2021,31,Duke,ACC,4,3–1,103.5,80,0.9507,52.8,40.5,24,15.7,47.8,27.2,22.3,17.2,53.7,40.5,34.1,26.9,34.4,25.6,68.4,-0.11
2021 Virginia,2021,238,Virginia,ACC,5,0–5,83.1,91.4,0.2501,40.6,46.6,30.1,27.2,32.8,43.3,26.4,26.3,36.9,45.9,34.9,32.1,24.1,28.7,67.9,-3.4
2021 Canisius,2021,339,Canisius,MAAC,5,0–5,77,109.7,0.0168,38.2,49.1,22.3,21.3,17.7,50.5,23.5,23.7,32.7,48.9,31.1,33,39.6,29.3,67.4,-4.5
2021 SMU,2021,218,SMU,Amer,6,0–6,81.8,87.2,0.3235,37.9,48.6,28.6,22.9,33.3,30,20.3,41.2,35.1,51.2,29.7,28.3,29.3,29.9,73.9,-3.4
2021 Vermont,2021,230,Vermont,AE,6,4–2,87.4,94.9,0.2801,46.1,39.2,20.3,21.6,29.3,32.8,17.5,25.3,45.7,37.4,31.5,29.1,25.5,28.6,68.3,-1.9
2021 UMBC,2021,313,UMBC,AE,8,2–6,81.1,103.3,0.0578,37.4,48,23.7,23.5,38.1,30.2,35.3,29.2,37,50.2,26.2,28.5,17.9,29.2,71.2,-5.8
2021 Vanderbilt,2021,172,Vanderbilt,SEC,8,4–4,97,98.7,0.4494,45.8,48.6,20.8,21,32.1,35,25.8,35.2,44.7,46.6,32.1,35.2,30.8,31.2,78.3,-1.7
2021 Colgate,2021,337,Colgate,Pat,9,1–8,81.5,115.2,0.0183,42.6,52.8,22.1,20.7,23.9,35.6,18.4,35.9,40.6,50.3,31,37.6,33.8,40.9,68.3,-7.8
2021 South Carolina St.,2021,343,South Carolina St.,MEAC,10,1–9,65.6,108.6,0.003,36.5,48.8,32.4,21.2,23.5,42.8,24.8,25.7,33.7,46.3,28.2,36.7,32.7,28.6,72.4,-8.1
2021 Bucknell,2021,84,Bucknell,Pat,10,9–1,96.1,86,0.7827,48.1,39.2,13.9,18.8,21.2,18.3,27,22.9,46,37.7,36.1,28.3,25.8,32.2,69.4,-0.43
2021 Niagara,2021,281,Niagara,MAAC,11,4–7,83.4,99.9,0.1117,42.8,47.4,28.3,25.8,34.4,34.8,28.2,27.6,44.1,48.5,26.2,29.9,28.1,30.7,75.4,-6.7
2021 American,2021,248,American,Pat,11,7–4,89.3,99.5,0.2242,49.7,45.3,24,23,23.6,27.5,35.3,27.7,50.1,43.6,32.5,32.1,28.2,36.1,69.8,-3.5
2021 Hartford,2021,322,Hartford,AE,12,3–9,74.9,97,0.0485,38.4,43.6,28.1,21.5,29.1,30.1,24.2,27.8,38.5,45.4,25.3,26.7,33.8,32.8,70.9,-8.5
2021 Navy,2021,274,Navy,Pat,12,5–7,81.1,96,0.1262,42.3,42.7,26.1,22,33.2,29.3,26,25.9,42.9,40.7,27,30.8,27,36.2,70.6,-6.6
2021 Loyola MD,2021,321,Loyola MD,Pat,13,0–13,76.2,98.4,0.0502,37.1,49.2,21.5,22.6,24.3,28.5,21.6,28.4,36.8,48.2,25.2,34.5,34.9,28.5,66.7,-12.2
2021 Siena,2021,295,Siena,MAAC,13,4–9,87.2,107.7,0.0812,42.9,47.1,24.4,22.2,35.4,38.4,25.2,25,42.4,45.6,29.2,33.6,35.1,30.4,68.5,-8.4
2021 Norfolk St.,2021,303,Norfolk St.,MEAC,13,4–9,74.4,92.6,0.0742,36.5,40.3,27,27.8,33.1,39,33.5,36,34.7,41.5,26.6,25,34.9,31.5,67.6,-8.5
2021 Lafayette,2021,234,Lafayette,Pat,13,5–8,89.4,97.6,0.2691,46.5,44.3,24.6,17.2,29.2,25.3,19.2,21.9,44.7,40.4,34.1,33,29,42.4,68,-7.1
2021 William & Mary,2021,227,William & Mary,CAA,13,6–7,89.6,96.6,0.2981,44.3,42.5,22.4,22.4,26.3,36.8,28.2,33.6,43.9,45.6,29.9,23.1,41.5,28.1,66.7,-5.7
2021 Chicago St.,2021,341,Chicago St.,WAC,14,0–14,71.3,103.9,0.013,36.9,50,30.4,21.7,30.2,35.1,32.3,33.7,36.1,50.5,27.1,32.6,18.9,32.2,69,-12.4
2021 Detroit Mercy,2021,289,Detroit Mercy,Horz,14,1–13,82.6,100.5,0.0951,40.7,50.6,27.3,24.7,28.5,40.6,32.5,39.5,38.7,52.5,29.6,31.4,35.7,34.8,70.9,-10.9
2021 Delaware St.,2021,312,Delaware St.,MEAC,14,3–11,79.5,101.2,0.0584,39.1,44.4,24.2,27.8,35.8,37.9,21.8,34.3,40.4,44.5,24.2,29.5,31.2,31.5,70.8,-10.6
2021 St. Francis NY,2021,314,St. Francis NY,NEC,14,4–10,84.4,107.6,0.0577,44.5,49.8,23.1,24.6,31.5,32.5,27.8,21.4,42.9,46.8,32,37.3,32.4,33.5,70.7,-9.7
2021 Charleston,2021,252,Charleston,CAA,14,5–9,81.8,91.7,0.212,38.1,46.1,20.7,26.6,28.7,38.9,29.2,36.8,37.8,46.7,25.7,29.7,37,27.4,75.4,-7.1
2021 Incarnate Word,2021,279,Incarnate Word,Slnd,14,5–9,83.6,99.7,0.1155,43.4,47,23.5,22.6,25.7,32.5,32,30.6,43.1,48.7,29.4,28.7,35.1,30.6,68.6,-7.6
2021 Lehigh,2021,144,Lehigh,Pat,15,10–5,97.4,94.9,0.5743,48.2,44.7,16.4,18.9,21.7,24.7,22.6,20.6,45.6,46.9,34.3,26.2,45.2,28.9,73.8,-3.9
2021 Boston University,2021,141,Boston University,Pat,15,12–3,93.5,90.9,0.5803,50.7,42.8,23.5,24.8,36.7,25.2,17.3,23.3,51.6,39.5,32.6,32.7,32.8,34.9,66.4,-2.7
2021 UC Davis,2021,62,UC Davis,BW,15,13–2,97.5,82.9,0.8657,50.7,37.2,20.3,16.3,23,28,27.6,21.5,47.9,37,36.6,25,39.9,34.4,67.4,0.06
