team_id,year,team,region,seed
2026 Connecticut,2026,Connecticut,Region 1,1
2026 Michigan,2026,Michigan,Region 1,2
2026 TCU,2026,TCU,Region 1,3
2026 Tennessee,2026,Tennessee,Region 1,4
2026 Maryland,2026,Maryland,Region 1,5
2026 N.C. State,2026,N.C. State,Region 1,6
2026 Georgia,2026,Georgia,Region 1,7
2026 Syracuse,2026,Syracuse,Region 1,8
2026 USC,2026,USC,Region 1,9
2026 North Dakota St.,2026,North Dakota St.,Region 1,10
2026 Gonzaga,2026,Gonzaga,Region 1,11
2026 Arizona St.,2026,Arizona St.,Region 1,12
2026 Clemson,2026,Clemson,Region 1,12
2026 High Point,2026,High Point,Region 1,13
2026 McNeese St.,2026,McNeese St.,Region 1,14
2026 UC San Diego,2026,UC San Diego,Region 1,15
2026 Binghamton,2026,Binghamton,Region 1,16
2026 Chattanooga,2026,Chattanooga,Region 1,16
2026 UCLA,2026,UCLA,Region 2,1
2026 Vanderbilt,2026,Vanderbilt,Region 2,2
2026 Ohio St.,2026,Ohio St.,Region 2,3
2026 Oklahoma,2026,Oklahoma,Region 2,4
2026 Baylor,2026,Baylor,Region 2,5
2026 Texas Tech,2026,Texas Tech,Region 2,6
2026 Washington,2026,Washington,Region 2,7
2026 Notre Dame,2026,Notre Dame,Region 2,8
2026 Iowa St.,2026,Iowa St.,Region 2,9
2026 Stanford,2026,Stanford,Region 2,10
2026 Rhode Island,2026,Rhode Island,Region 2,11
2026 San Diego St.,2026,San Diego St.,Region 2,12
2026 Arkansas St.,2026,Arkansas St.,Region 2,13
2026 Charleston,2026,Charleston,Region 2,14
2026 Navy,2026,Navy,Region 2,15
2026 Cal Baptist,2026,Cal Baptist,Region 2,16
2026 Texas,2026,Texas,Region 3,1
2026 Louisville,2026,Louisville,Region 3,2
2026 Iowa,2026,Iowa,Region 3,3
2026 Mississippi,2026,Mississippi,Region 3,4
2026 West Virginia,2026,West Virginia,Region 3,5
2026 North Carolina,2026,North Carolina,Region 3,6
2026 Illinois,2026,Illinois,Region 3,7
2026 Nebraska,2026,Nebraska,Region 3,8
2026 Princeton,2026,Princeton,Region 3,9
2026 Mississippi St.,2026,Mississippi St.,Region 3,10
2026 Rice,2026,Rice,Region 3,11
2026 Miami OH,2026,Miami OH,Region 3,12
2026 Murray St.,2026,Murray St.,Region 3,13
2026 Idaho,2026,Idaho,Region 3,14
2026 Eastern Kentucky,2026,Eastern Kentucky,Region 3,15
2026 Fairleigh Dickinson,2026,Fairleigh Dickinson,Region 3,16
2026 South Carolina,2026,South Carolina,Region 4,1
2026 LSU,2026,LSU,Region 4,2
2026 Michigan St.,2026,Michigan St.,Region 4,3
2026 Duke,2026,Duke,Region 4,4
2026 Kentucky,2026,Kentucky,Region 4,5
2026 Alabama,2026,Alabama,Region 4,6
2026 Minnesota,2026,Minnesota,Region 4,7
2026 Oklahoma St.,2026,Oklahoma St.,Region 4,8
2026 Oregon,2026,Oregon,Region 4,9
2026 Villanova,2026,Villanova,Region 4,10
2026 Utah,2026,Utah,Region 4,11
2026 Virginia Tech,2026,Virginia Tech,Region 4,11
2026 Green Bay,2026,Green Bay,Region 4,12
2026 Quinnipiac,2026,Quinnipiac,Region 4,13
2026 Louisiana Tech,2026,Louisiana Tech,Region 4,14
2026 Western Illinois,2026,Western Illinois,Region 4,15
2026 Alcorn St.,2026,Alcorn St.,Region 4,16
2026 Maryland Eastern Shore,2026,Maryland Eastern Shore,Region 4,16
